nuts,original_code,original_name,translated_name,hcat4_code,hcat4_name,usage_code,usage_name
at,10001,NICHT DEFINIERT,not defined,3390000000,not_known_and_other,0,No specified use
at,105,KÖRNERMAIS,GRAIN CORN,3310106000,maize_corn_popcorn,6,Harvested as Grains
at,106,MAIS CORN-COB-MIX (CCM),CORN CORN-COB-MIX (CCM),3310106000,maize_corn_popcorn,0,No specified use
at,107,ZUCKERMAIS,SUGAR CORN,3310106000,maize_corn_popcorn,0,No specified use
at,109,SILOMAIS,SILO CORN,3310106000,maize_corn_popcorn,3,Fodder/Forage
at,110,WINTERGERSTE,WINTER BARLEY,3310104001,winter_barley,0,No specified use
at,111,SOMMERGERSTE,SUMMER BARLEY,3310104002,spring_barley,0,No specified use
at,112,WINTERHAFER,WINTER OATS,3310105001,winter_oats,0,No specified use
at,113,WINTERMENGGETREIDE,WINTER MESLIN,3310111001,winter_mixed_grains,0,No specified use
at,114,SOMMERMENGGETREIDE,SUMMER MESLIN,3310111002,spring_mixed_grains,0,No specified use
at,115,ERBSEN - GETREIDE GEMENGE,PEAS - GRAIN MIX,3310201080,peas,6,Harvested as Grains
at,116,WINTERTRITICALE,WINTER TRITICALE,3310108001,winter_triticale,0,No specified use
at,117,SORGHUM,SORGHUM,3310116000,sorghum,0,No specified use
at,118,HIRSE,MILLET,3310109000,millet,0,No specified use
at,119,BUCHWEIZEN,BUCKWHEAT,3310703020,buckwheat,0,No specified use
at,120,KANARIENSAAT,CANARY SEED,3320201100,canary_seed_canaryseed,9,Seed/Propagation
at,125,WINTERGERSTE / FELDGEMÜSE,WINTER BARLEY / FIELD VEGETABLES,3310104001,winter_barley,0,No specified use
at,126,SOMMERGERSTE / FELDGEMÜSE,SUMMER BARLEY / FIELD VEGETABLES,3310104002,spring_barley,0,No specified use
at,127,WINTERMENGGETREIDE / FELDGEMÜSE,WINTER CEREALS / FIELD VEGETABLES,3310111001,winter_mixed_grains,0,No specified use
at,128,SOMMERMENGGETREIDE / FELDGEMÜSE,SUMMER CEREALS / FIELD VEGETABLES,3310111002,spring_mixed_grains,0,No specified use
at,129,ERBSEN - GETREIDE GEMENGE / FELDGEMÜSE,PEAS - GRAIN MIX / FIELD VEGETABLES,3310201080,peas,6,Harvested as Grains
at,130,WINTERTRITICALE / FELDGEMÜSE,WINTER TRITICALE / FIELD VEGETABLES,3310108001,winter_triticale,0,No specified use
at,131,MAIS CORN-COB-MIX (CCM) / FELDGEMÜSE,CORN CORN COB MIX (CCM) / FIELD VEGETABLES,3310106000,maize_corn_popcorn,0,No specified use
at,132,HIRSE / FELDGEMÜSE,MILLET / FIELD VEGETABLES,3310109000,millet,0,No specified use
at,133,WINTERHAFER / FELDGEMÜSE,WINTER Oats/ FIELD VEGETABLES,3310105001,winter_oats,0,No specified use
at,134,ZUCKERMAIS / FELDGEMÜSE,SUGAR CORN / FIELD VEGETABLES,3310106000,maize_corn_popcorn,0,No specified use
at,135,GRÜNMAIS,GREEN CORN,3310106000,maize_corn_popcorn,5,Harvested Green
at,137,SOMMERWEICHWEIZEN,SUMMER COMMON WHEAT,3310101002,spring_common_soft_wheat,0,No specified use
at,138,WINTERWEICHWEIZEN,WINTER SOFT WHEAT,3310101001,winter_common_soft_wheat,0,No specified use
at,139,SOMMERWEICHWEIZEN / FELDGEMÜSE,Summer Soft Wheat / Field Vegetables,3310101002,spring_common_soft_wheat,0,No specified use
at,140,WINTERWEICHWEIZEN / FELDGEMÜSE,WINTER SOFT WHEAT / FIELD VEGETABLES,3310101001,winter_common_soft_wheat,0,No specified use
at,141,SOMMERROGGEN,SUMMER RYE,3310103002,spring_rye,0,No specified use
at,142,WINTERROGGEN,WINTER RYE,3310103001,winter_rye,0,No specified use
at,143,SOMMERROGGEN / FELDGEMÜSE,SUMMER RYE / FIELD VEGETABLES,3310103002,spring_rye,0,No specified use
at,144,WINTERROGGEN / FELDGEMÜSE,WINTER RYE / FIELD VEGETABLES,3310103001,winter_rye,0,No specified use
at,145,WINTERDINKEL (SPELZ),WINTER SPELT (SPELT),3310110001,winter_spelt,0,No specified use
at,146,SOMMERDINKEL (SPELZ),SUMMER SPELT (SPELT),3310110002,spring_spelt,0,No specified use
at,147,SOMMERDINKEL (SPELZ) / FELDGEMÜSE,SUMMER SPELT (SPELT) / FIELD VEGETABLES,3310110002,spring_spelt,0,No specified use
at,148,WINTERDINKEL (SPELZ) / FELDGEMÜSE,WINTER SPELT (SPELT) / FIELD VEGETABLES,3310110001,winter_spelt,0,No specified use
at,149,EMMER ODER EINKORN (SOMMERUNG),EMMER OR EINKORN (SUMMER),3310112002,spring_emmer,0,No specified use
at,150,EMMER ODER EINKORN (WINTERUNG),EMMER OR EINKORN (WINTERING),3310112001,winter_emmer,0,No specified use
at,151,EMMER ODER EINKORN (SOMMERUNG) / FELDGEMÜSE,EMMER OR EINKORN (SUMMER) / FIELD VEGETABLES,3310112002,spring_emmer,0,No specified use
at,152,EMMER ODER EINKORN (WINTERUNG) / FELDGEMÜSE,EMMER OR EINKORN (WINTERING) / FIELD VEGETABLES,3310112001,winter_emmer,0,No specified use
at,153,WINTERGERSTE / BUCHWEIZEN,WINTER BARLEY / BUCKWHEAT,3310104001,winter_barley,0,No specified use
at,154,SUDANGRAS,SUDAN GRASS (Sorghum sudanense),3310116000,sorghum,0,No specified use
at,155,SOMMERHAFER,SUMMER OATS,3310105002,spring_oats,0,No specified use
at,156,SOMMERHAFER / FELDGEMÜSE,SUMMER OATS / FIELD VEGETABLES,3310105002,spring_oats,0,No specified use
at,157,SOMMERTRITICALE,SUMMER TRITICALE,3310108002,spring_triticale,0,No specified use
at,158,SOMMERTRITICALE / FELDGEMÜSE,summer triticale / field vegetables,3310108002,spring_triticale,0,No specified use
at,159,FRÜHKARTOFFELN / MAIS,EARLY POTATOES / CORN,3310300000,potatoes,0,No specified use
at,160,WINTERWEICHWEIZEN / BUCHWEIZEN,WINTER WHEAT / BUCKWHEAT,3310101001,winter_common_soft_wheat,0,No specified use
at,161,SOMMERGERSTE / BUCHWEIZEN,SUMMER BARLEY / BUCKWHEAT,3310104002,spring_barley,0,No specified use
at,162,WINTERTRITICALE / FUTTERRÜBE,WINTER TRITICALE / FORAGE BEET,3310108001,winter_triticale,0,No specified use
at,163,SOMMERHAFER / FUTTERRÜBE,SUMMER Oats/ FODDER Rape,3310105002,spring_oats,3,Fodder/Forage
at,164,ERBSEN - GETREIDE GEMENGE / BUCHWEIZEN,PEAS - GRAIN MIX / BUCKWHEAT,3310201080,peas,6,Harvested as Grains
at,165,WINTERHARTWEIZEN (DURUM),HARD WINTER WHEAT (DURUM),3310102001,winter_durum_hard_wheat,0,No specified use
at,166,SOMMERHARTWEIZEN (DURUM),SUMMER HARD WHEAT (DURUM),3310102002,spring_durum_hard_wheat,0,No specified use
at,167,WINTERHARTWEIZEN (DURUM) / FELDGEMÜSE,WINTER DURUM WHEAT (DURUM) / FIELD VEGETABLES,3310102001,winter_durum_hard_wheat,0,No specified use
at,168,SOMMERHARTWEIZEN (DURUM) / FELDGEMÜSE,SUMMER HARD WHEAT / FIELD VEGETABLES,3310102002,spring_durum_hard_wheat,0,No specified use
at,169,WINTERHARTWEIZEN (DURUM) / BUCHWEIZEN,WINTER HARD WHEAT (DURUM) / BUCKWHEAT,3310102001,winter_durum_hard_wheat,0,No specified use
at,170,SOMMERHARTWEIZEN (DURUM) / BUCHWEIZEN,SUMMER HARD WHEAT (DURUM) / BUCKWHEAT,3310102002,spring_durum_hard_wheat,0,No specified use
at,171,WINTERTRITICALE / HIRSE,WINTER TRITICALE / MILLET,3310108001,winter_triticale,0,No specified use
at,172,MAIS / KÄFERBOHNEN IN GETRENNTEN REIHEN,CORN / BEETLE BEANS IN SEPARATED ROWS,3310106000,maize_corn_popcorn,0,No specified use
at,173,SAATMAISVERMEHRUNG,SEED CORN PROPAGATION,3310106000,maize_corn_popcorn,9,Seed/Propagation
at,174,WINTERGERSTE / SILOMAIS,WINTER BARLEY / SILO CORN,3310104001,winter_barley,3,Fodder/Forage
at,175,WINTERGERSTE / KÖRNERMAIS,WINTER BARLEY / GRAIN CORN,3310104001,winter_barley,6,Harvested as Grains
at,176,WINTERGERSTE / KLEEGRAS,WINTER BARLEY / CLOVER GRASS,3310104001,winter_barley,0,No specified use
at,177,WINTERGERSTE / FUTTERGRÄSER,WINTER BARLEY / FORAGE GRASS,3310104001,winter_barley,0,No specified use
at,178,WINTERGERSTE / KLEE,WINTER BARLEY / CLOVER,3310104001,winter_barley,0,No specified use
at,179,REIS,rice,3310107000,rice,0,No specified use
at,180,KRESSE,cress,3310718000,cress,0,No specified use
at,181,SOMMERGERSTE (HERBSTANBAU),summer barley planted in autumn,3310104001,winter_barley,0,No specified use
at,183,SOMMERGERSTE (HERBSTANBAU) / BUCHWEIZEN,summer barley planted in autumn/ buckwh,3310104001,winter_barley,0,No specified use
at,184,KLEEGRAS / SILOMAIS,clover maize mix,3310202030,clover,0,No specified use
at,201,KÖRNERERBSEN,GRAIN PEAS,3310201080,peas,6,Harvested as Grains
at,202,ACKERBOHNEN (PUFFBOHNEN),FARM BEANS (PUFF BEANS),3310201010,beans,0,No specified use
at,203,SÜSSLUPINEN,SWEET LUPINES,3310201090,lupins,0,No specified use
at,204,KÖRNERERBSEN / FELDGEMÜSE,GRAIN PEAS / FIELD VEGETABLES,3310201080,peas,6,Harvested as Grains
at,205,ACKERBOHNEN / FELDGEMÜSE,Field beans / field vegetables,3310201010,beans,0,No specified use
at,206,ACKERBOHNEN - GETREIDE GEMENGE,FIELD BEANS - GRAIN MIX,3310201010,beans,6,Harvested as Grains
at,207,BITTERLUPINEN,BITTER LUPINES,3310201090,lupins,0,No specified use
at,208,ACKERBOHNEN / ERBSENGEMENGE,FIELD BEANS / PEAS MIX,3310201010,beans,0,No specified use
at,209,ESPARSETTE,ESPARSETTE,3310202060,onobrychis_sainfoins,0,No specified use
at,210,PELUSCHKEN,Field Pea,3310201080,peas,0,No specified use
at,211,WINTERACKERBOHNEN,winter broad beans,3310201010,beans,0,No specified use
at,212,SOMMERACKERBOHNEN,summer broad beans,3310201010,beans,0,No specified use
at,213,WINTERKÖRNERERBSEN,winter peas,3310201080,peas,0,No specified use
at,214,SOMMERKÖRNERERBSEN,summer peas,3310201080,peas,0,No specified use
at,301,WINTERRAPS,WINTER RAPE,3310604011,winter_rapeseed_rape,0,No specified use
at,302,SOMMERRAPS,SUMMER RAPES,3310604012,spring_rapeseed_rape,0,No specified use
at,303,WINTERRÜBSEN,WINTER BEETS,3310715990,other_root_vegetables,0,No specified use
at,304,SOMMERRÜBSEN,Summer Brassica rapa L. var. silvestris,3310604012,spring_rapeseed_rape,0,No specified use
at,307,SONNENBLUMEN,SUNFLOWERS,3310604020,sunflower,0,No specified use
at,308,SOJABOHNEN,SOYBEANS,3310201030,soy_soybeans,0,No specified use
at,309,SOJABOHNEN / SOMMERWICKEN IN GETRENNTEN REIHEN,SOYBEANS / SUMMER VETCHETS IN SEPARATE ROWS,3310201030,soy_soybeans,0,No specified use
at,310,ÖLLEIN (NICHT ZUR FASERGEWINNUNG),FLAX (NOT FOR FIBER RECOVERY),3310607000,flax_linseed,0,No specified use
at,311,ÖLLEIN (NICHT ZUR FASERGEWINNUNG) / FELDGEMÜSE,OIL FLAX (NOT FOR FIBER PRODUCTION) / FIELD VEGETABLES,3310607000,flax_linseed,8,Oil
at,350,LSE FELDGEHÖLZ / BAUM- / GEBÜSCHGRUPPE,LANDSCAPE ELEMENT FIELD WOOD / TREE / BRUSH GROUP,3360000000,tree_wood_forest,0,No specified use
at,351,LSE HECKE / UFERGEHÖLZ,(Landscape Element) HEDGE / SHORE WOOD,3360000000,tree_wood_forest,0,No specified use
at,353,LSE RAIN / BÖSCHUNG / TROCKENSTEINMAUER,LANDSCAPE ELEMENET RAIN / EMBANKMENT / DRY STONE WALL,3390000000,not_known_and_other,0,No specified use
at,359,GLÖZ FELDGEHÖLZ / BAUM- / GEBÜSCHGRUPPE,Group of woody plants/trees/shrubs (good agricultural and ecological condition),3360000000,tree_wood_forest,0,No specified use
at,360,GLÖZ HECKE / UFERGEHÖLZ,HEDGE / RIPARIAN WOODLAND (good agricultural and ecological condition),3360000000,tree_wood_forest,0,No specified use
at,361,GLÖZ RAIN / BÖSCHUNG / TROCKENSTEINMAUER,RAIN / EMBANKMENT / DRY STONE WALL (good agricultural and ecological condition),3390000000,not_known_and_other,0,No specified use
at,362,GLÖZ GRABEN / UFERRANDSTREIFEN,DITCH / RIPARIAN STRIP (good agricultural and ecological condition),3390000000,not_known_and_other,0,No specified use
at,363,GLÖZ NATURDENKMAL FLÄCHE,Natural Site Area (good agricultural and ecological condition),3390000000,not_known_and_other,0,No specified use
at,364,GLÖZ STEINRIEGEL / STEINHAGE,Clearance cairn (good agricultural and ecological condition),3390000000,not_known_and_other,0,No specified use
at,365,GLÖZ TEICH / TÜMPEL,Pond (good agricultural and ecological condition),3390000000,not_known_and_other,0,No specified use
at,366,LSE MEHRNUTZENHECKE,Multiple use hedge LANDSCAPE ELEMENT,3390000000,not_known_and_other,0,No specified use
at,506,SENF,MUSTARD,3310707010,mustard,0,No specified use
at,509,SOMMERMOHN,SUMMER POPPY,3310606002,summer_poppy,0,No specified use
at,510,WINTERMOHN,WINTER POPPY,3310606001,winter_poppy,0,No specified use
at,513,FRÜHKARTOFFELN,EARLY POTATOES,3310300000,potatoes,0,No specified use
