hcat4_code,hcat4_name,usage_code,usage_name,link,agriprod_code,agriprod_name
3310000000,arable_crops,0,No specified use,=,ARA,Arable land
3310000000,arable_crops,2,Industry/for processing,=,ARA,Arable land
3310000000,arable_crops,3,Fodder/Forage,=,FOP,Forage plants
3310000000,arable_crops,9,Seed/Propagation,<,E0000,Seeds and seedlings
3310100000,cereal,0,No specified use,=,C0000,Cereals for the production of grain (including seed)
3310100000,cereal,3,Fodder/Forage,>,G9100,Other cereals harvested green (excluding green maize)
3310100000,cereal,5,Harvested Green,>,G9100,Other cereals harvested green (excluding green maize)
3310100000,cereal,6,Harvested as Grains,=,C0000,Cereals for the production of grain (including seed)
3310100000,cereal,8,Oil,=,C0000,Cereals for the production of grain (including seed)
3310100000,cereal,9,Seed/Propagation,=,C0000,Cereals for the production of grain (including seed)
3310101000,common_soft_wheat,0,No specified use,<,C1110,Common wheat and spelt
3310101000,common_soft_wheat,3,Fodder/Forage,<,G9100,Other cereals harvested green (excluding green maize)
3310101001,winter_common_soft_wheat,0,No specified use,<,C1111,Common winter wheat and spelt
3310101001,winter_common_soft_wheat,5,Harvested Green,<,G9100,Other cereals harvested green (excluding green maize)
3310101001,winter_common_soft_wheat,9,Seed/Propagation,<,C1111,Common winter wheat and spelt
3310101002,spring_common_soft_wheat,0,No specified use,<,C1112,Common spring wheat and spelt
3310101002,spring_common_soft_wheat,5,Harvested Green,<,G9100,Other cereals harvested green (excluding green maize)
3310101002,spring_common_soft_wheat,6,Harvested as Grains,<,C1112,Common spring wheat and spelt
3310102000,durum_hard_wheat,0,No specified use,=,C1120,Durum wheat
3310102001,winter_durum_hard_wheat,0,No specified use,=,C1121,Winter durum wheat
3310102002,spring_durum_hard_wheat,0,No specified use,=,C1122,Spring durum wheat
3310102008,unspecified_season_durum_hard_wheat,0,No specified use,=,C1120,Durum wheat
3310103000,rye,0,No specified use,=,C1210,Rye
3310103000,rye,3,Fodder/Forage,<,G9100,Other cereals harvested green (excluding green maize)
3310103000,rye,4,Energy,=,C1210,Rye
3310103000,rye,5,Harvested Green,<,G9100,Other cereals harvested green (excluding green maize)
3310103000,rye,9,Seed/Propagation,=,C1210,Rye
3310103001,winter_rye,0,No specified use,=,C1211,Winter rye
3310103001,winter_rye,5,Harvested Green,<,G9100,Other cereals harvested green (excluding green maize)
3310103002,spring_rye,0,No specified use,=,C1212,Spring rye
3310103002,spring_rye,5,Harvested Green,=,G9100,Other cereals harvested green (excluding green maize)
3310104000,barley,0,No specified use,=,C1300,Barley
3310104000,barley,2,Industry/for processing,=,C1320M,Malting barley
3310104000,barley,3,Fodder/Forage,<,G9100,Other cereals harvested green (excluding green maize)
3310104001,winter_barley,0,No specified use,=,C1310,Winter barley
3310104001,winter_barley,3,Fodder/Forage,<,G9100,Other cereals harvested green (excluding green maize)
3310104001,winter_barley,5,Harvested Green,<,G9100,Other cereals harvested green (excluding green maize)
3310104001,winter_barley,6,Harvested as Grains,=,C1310,Winter barley
3310104002,spring_barley,0,No specified use,=,C1320,Spring barley
3310104002,spring_barley,5,Harvested Green,<,G9100,Other cereals harvested green (excluding green maize)
3310104008,unspecified_season_barley,0,No specified use,=,C1300,Barley
3310105000,oats,0,No specified use,=,C1410,Oats
3310105000,oats,3,Fodder/Forage,<,G9100,Other cereals harvested green (excluding green maize)
3310105001,winter_oats,0,No specified use,<,C1410,Oats
3310105001,winter_oats,5,Harvested Green,<,G9100,Other cereals harvested green (excluding green maize)
3310105002,spring_oats,0,No specified use,<,C1410,Oats
3310105002,spring_oats,3,Fodder/Forage,<,G9100,Other cereals harvested green (excluding green maize)
3310105002,spring_oats,5,Harvested Green,<,G9100,Other cereals harvested green (excluding green maize)
3310105008,unspecified_season_oats,0,No specified use,=,C1410,Oats
3310106000,maize_corn_popcorn,0,No specified use,=,C1500,Grain maize and corn-cob-mix
3310106000,maize_corn_popcorn,3,Fodder/Forage,=,G3000,Green maize
3310106000,maize_corn_popcorn,4,Energy,=,C1500,Grain maize and corn-cob-mix
3310106000,maize_corn_popcorn,5,Harvested Green,=,G3000,Green maize
3310106000,maize_corn_popcorn,6,Harvested as Grains,=,C1500,Grain maize and corn-cob-mix
3310106000,maize_corn_popcorn,9,Seed/Propagation,=,C1500,Grain maize and corn-cob-mix
3310107000,rice,0,No specified use,=,C2000,Rice
3310108000,triticale,0,No specified use,=,C1600,Triticale
3310108000,triticale,6,Harvested as Grains,=,C1600,Triticale
3310108001,winter_triticale,0,No specified use,=,C1610,Winter triticale
3310108001,winter_triticale,5,Harvested Green,<,G9100,Other cereals harvested green (excluding green maize)
3310108001,winter_triticale,6,Harvested as Grains,=,C1610,Winter triticale
3310108002,spring_triticale,0,No specified use,<,C1600,Triticale
3310108002,spring_triticale,5,Harvested Green,<,G9100,Other cereals harvested green (excluding green maize)
3310109000,millet,0,No specified use,<,C1990,"Other cereals n.e.c. (millet, canary seed, etc.)"
3310110000,spelt,0,No specified use,<,C1110,Common wheat and spelt
3310110001,winter_spelt,0,No specified use,<,C1111,Common winter wheat and spelt
3310110002,spring_spelt,0,No specified use,<,C1112,Common spring wheat and spelt
3310111000,mixed_grains,0,No specified use,=,C1220,Winter cereal mixtures (maslin)
3310111001,winter_mixed_grains,0,No specified use,<,C1220,Winter cereal mixtures (maslin)
3310111001,winter_mixed_grains,5,Harvested Green,<,G9100,Other cereals harvested green (excluding green maize)
3310111001,winter_mixed_grains,6,Harvested as Grains,<,C1220,Winter cereal mixtures (maslin)
3310111002,spring_mixed_grains,0,No specified use,<,C1420,Spring cereal mixtures (mixed grain other than maslin)
3310111002,spring_mixed_grains,5,Harvested Green,<,G9100,Other cereals harvested green (excluding green maize)
3310111002,spring_mixed_grains,6,Harvested as Grains,<,C1420,Spring cereal mixtures (mixed grain other than maslin)
3310112000,emmer,0,No specified use,<,C1110,Common wheat and spelt
3310112001,winter_emmer,0,No specified use,<,C1111,Common winter wheat and spelt
3310112001,winter_emmer,6,Harvested as Grains,<,C1111,Common winter wheat and spelt
3310112002,spring_emmer,0,No specified use,<,C1112,Common spring wheat and spelt
3310112002,spring_emmer,6,Harvested as Grains,<,C1112,Common spring wheat and spelt
3310112008,unspecified_season_emmer,0,No specified use,<,C1110,Common wheat and spelt
3310113000,einkorn,0,No specified use,<,C1110,Common wheat and spelt
3310113008,unspecified_season_einkorn,0,No specified use,<,C1110,Common wheat and spelt
3310115000,teff,0,No specified use,<,C1900,"Other cereals n.e.c. (buckwheat, millet, canary seed, etc.)"
3310116000,sorghum,0,No specified use,=,C1700,Sorghum
3310116000,sorghum,6,Harvested as Grains,=,C1700,Sorghum
3310198002,spring_unspecified_cereals,8,Oil,<,I1110,Rape and turnip rape seeds
3310199000,other_cereals,0,No specified use,<,C1900,"Other cereals n.e.c. (buckwheat, millet, canary seed, etc.)"
3310199001,winter_other_cereals,0,No specified use,<,C1000,Cereals (excluding rice) for the production of grain (including seed)
3310199002,spring_other_cereals,0,No specified use,<,C1000,Cereals (excluding rice) for the production of grain (including seed)
3310200000,legumes,0,No specified use,=,P0000+G2000,Dry pulses and protein crops for the production of grain (including seed and mixtures of cereals and pulses)+Leguminous plants harvested green
3310200000,legumes,1,Consumption/Fresh,>,P0000,Dry pulses and protein crops for the production of grain (including seed and mixtures of cereals and pulses)
3310200000,legumes,3,Fodder/Forage,>,G2000,Leguminous plants harvested green
3310200000,legumes,5,Harvested Green,=,G2000,Leguminous plants harvested green
3310200000,legumes,6,Harvested as Grains,=,P0000,Dry pulses and protein crops for the production of grain (including seed and mixtures of cereals and pulses)
3310200000,legumes,8,Oil,<,I1100,Oilseeds
3310200000,legumes,9,Seed/Propagation,>,P0000,Dry pulses and protein crops for the production of grain (including seed and mixtures of cereals and pulses)
3310200000,legumes,11,Nitrogen fixing ,<,Q0000,Fallow land
3310201000,beans,0,No specified use,=,P1200,Broad and field beans
3310201000,beans,1,Consumption/Fresh,=,V5200,Fresh beans
3310201000,beans,2,Industry/for processing,=,V5200,Fresh beans
3310201000,beans,3,Fodder/Forage,<,G2000,Leguminous plants harvested green
3310201000,beans,5,Harvested Green,<,G2000,Leguminous plants harvested green
3310201000,beans,6,Harvested as Grains,=,P1200,Broad and field beans
3310201000,beans,9,Seed/Propagation,=,P1200,Broad and field beans
3310201020,peanuts,0,No specified use,<,I1190T,Other oilseeds and oleaginous fruits - outdoor
3310201030,soy_soybeans,0,No specified use,=,I1130,Soya
3310201040,chickpeas,0,No specified use,=,P9200,Chickpeas
3310201060,fenugreek,0,No specified use,<,G2900,Other leguminous plants harvested green n.e.c. (clover etc.)
3310201070,lentils,0,No specified use,=,P9100,Lentils
3310201070,lentils,3,Fodder/Forage,<,G2000,Leguminous plants harvested green
3310201080,peas,0,No specified use,=,P1100,Field peas
3310201080,peas,1,Consumption/Fresh,=,V5100,Fresh peas
3310201080,peas,2,Industry/for processing,=,V5100,Fresh peas
3310201080,peas,3,Fodder/Forage,<,G2000,Leguminous plants harvested green
3310201080,peas,5,Harvested Green,<,G2000,Leguminous plants harvested green
3310201080,peas,6,Harvested as Grains,=,P1100,Field peas
3310201090,lupins,0,No specified use,=,P1300,Sweet lupins
3310202010,alfalfa_lucerne,0,No specified use,=,G2100,Lucerne
3310202010,alfalfa_lucerne,3,Fodder/Forage,=,G2100,Lucerne
3310202010,alfalfa_lucerne,9,Seed/Propagation,<,E0000,Seeds and seedlings
3310202020,serradella,0,No specified use,<,G2900,Other leguminous plants harvested green n.e.c. (clover etc.)
3310202030,clover,0,No specified use,<,G2910,Clover and mixtures
3310202030,clover,5,Harvested Green,<,G2910,Clover and mixtures
3310202030,clover,9,Seed/Propagation,<,E0000,Seeds and seedlings
3310202030,clover,11,Nitrogen fixing ,<,Q0000,Fallow land
3310202040,melilot,0,No specified use,<,G2900,Other leguminous plants harvested green n.e.c. (clover etc.)
3310202050,vetches,0,No specified use,<,G2900,Other leguminous plants harvested green n.e.c. (clover etc.)
3310701000,strawberries,9,Seed/Propagation,<,E0000,Seeds and seedlings
3310202050,vetches,3,Fodder/Forage,<,G2900,Other leguminous plants harvested green n.e.c. (clover etc.)
3310202050,vetches,6,Harvested as Grains,<,P9000,"Other dry pulses and protein crops n.e.c. (lentils, chickpeas, vetches, etc.)"
3310202060,onobrychis_sainfoins,0,No specified use,<,G2900,Other leguminous plants harvested green n.e.c. (clover etc.)
3310202070,galega,0,No specified use,<,G9900,Other plants harvested green from arable land n.e.c.
3310202070,galega,3,Fodder/Forage,<,G9900,Other plants harvested green from arable land n.e.c.
3310299000,other_legumes,0,No specified use,=,P0000+G2000,Dry pulses and protein crops for the production of grain (including seed and mixtures of cereals and pulses)+Leguminous plants harvested green
3310300000,potatoes,0,No specified use,<,R1000,Potatoes (including seed potatoes)
3310300000,potatoes,1,Consumption/Fresh,<,R1000,Potatoes (including seed potatoes)
3310300000,potatoes,2,Industry/for processing,<,R1000,Potatoes (including seed potatoes)
3310300000,potatoes,3,Fodder/Forage,<,R1000,Potatoes (including seed potatoes)
3310300000,potatoes,9,Seed/Propagation,<,R1000,Potatoes (including seed potatoes)
3310400000,sweet_potatoes,0,No specified use,<,R1000,Potatoes (including seed potatoes)
3310600000,industrial_nonfood_crops,0,No specified use,=,I0000,Industrial crops
3310600000,industrial_nonfood_crops,2,Industry/for processing,=,I0000,Industrial crops
3310600000,industrial_nonfood_crops,8,Oil,=,I0000,Industrial crops
3310601000,tobacco,0,No specified use,=,I3000,Tobacco
3310602000,hops,0,No specified use,=,I4000,Hops
3310602000,hops,9,Seed/Propagation,<,E0000,Seeds and seedlings
3310603000,cotton,0,No specified use,>,I2300,Cotton fibre
3310604000,oilseed_crops,0,No specified use,=,I1100,Oilseeds
3310604000,oilseed_crops,8,Oil,=,I1100,Oilseeds
3310604010,rapeseed_rape,0,No specified use,=,I1110,Rape and turnip rape seeds
3310604010,rapeseed_rape,3,Fodder/Forage,<,G9900,Other plants harvested green from arable land n.e.c.
3310604010,rapeseed_rape,8,Oil,=,I1110,Rape and turnip rape seeds
3310604011,winter_rapeseed_rape,0,No specified use,=,I1111,Winter rape and turnip rape seeds
3310604011,winter_rapeseed_rape,3,Fodder/Forage,<,G9900,Other plants harvested green from arable land n.e.c.
3310604011,winter_rapeseed_rape,8,Oil,=,I1111,Winter rape and turnip rape seeds
3310604012,spring_rapeseed_rape,0,No specified use,=,I1112,Spring rape and turnip rape seeds
3310604012,spring_rapeseed_rape,3,Fodder/Forage,<,G9900,Other plants harvested green from arable land n.e.c.
3310604012,spring_rapeseed_rape,8,Oil,=,I1112,Spring rape and turnip rape seeds
3310604013,summer_rapeseed_rape,0,No specified use,=,I1112,Spring rape and turnip rape seeds
3310604013,summer_rapeseed_rape,8,Oil,=,I1112,Spring rape and turnip rape seeds
3310604020,sunflower,0,No specified use,=,I1120,Sunflower seed
3310604020,sunflower,8,Oil,=,I1120,Sunflower seed
3310604020,sunflower,9,Seed/Propagation,=,I1120,Sunflower seed
3310604030,guizotia_abyssinica_nyger,0,No specified use,<,I1190,Other oilseed crops n.e.c.
3310604990,other_oilseed_crops,0,No specified use,<,I1190,Other oilseed crops n.e.c.
3310606000,poppy,0,No specified use,<,I1920AM,Poppy (seeds)
3310606000,poppy,8,Oil,<,I1920AM,Poppy (seeds)
3310606000,poppy,9,Seed/Propagation,<,I1920AM,Poppy (seeds)
3310606001,winter_poppy,0,No specified use,<,I1920AM,Poppy (seeds)
3310606002,summer_poppy,0,No specified use,<,I1920AM,Poppy (seeds)
3310607000,flax_linseed,0,No specified use,<,I1140,Linseed (oil flax)
3310607000,flax_linseed,7,Fiber,<,I2100,Fibre flax
3310607000,flax_linseed,8,Oil,<,I1140,Linseed (oil flax)
3310607000,flax_linseed,9,Seed/Propagation,<,I1140,Linseed (oil flax)
3310610000,hemp_cannabis,0,No specified use,=,I2200,Hemp
3310610000,hemp_cannabis,1,Consumption/Fresh,=,I2200,Hemp
3310610000,hemp_cannabis,2,Industry/for processing,=,I2200,Hemp
