nuts,original_code,original_name,translated_name,hcat4_code,hcat4_name,g_tname,dpl_tname,opus_tname,translation_flag,type_error,Notes,Niche/uncommon name/spelling error/abbreviation
at,10001.0,NICHT DEFINIERT,not defined,3390000000,not_known_and_other,NOT DEFINED,NOT DEFINED,Not defined,1,,,
at,105.0,KÖRNERMAIS,GRAIN CORN,3310106000,maize_corn_popcorn,GRAIN CORN,CORN,Grain maize,1,,,
at,106.0,MAIS CORN-COB-MIX (CCM),CORN CORN-COB-MIX (CCM),3310106000,maize_corn_popcorn,CORN CORN-COB MIX (CCM),BUT CORN-COB-MIX (CCM),mais corn-cob-mix (ccm),1,,,
at,107.0,ZUCKERMAIS,SUGAR CORN,3310106000,maize_corn_popcorn,SWEET CORN,ZUCKERMAIS,sweetcorn,0,1,,
at,109.0,SILOMAIS,SILO CORN,3310106000,maize_corn_popcorn,SILO CORN,SILOMAIS,Silomais,0,1,,
at,110.0,WINTERGERSTE,WINTER BARLEY,3310104001,winter_barley,WINTER BARLEY,WINTER BARLEY,Winter barley,1,,,
at,111.0,SOMMERGERSTE,SUMMER BARLEY,3310104002,spring_barley,SUMMER BARLEY,SOMMERGERSTE,summer barley,0,1,,
at,112.0,WINTERHAFER,WINTER OATS,3310105001,winter_oats,WINTER OATS,WINTER OATS,winter sharks,0,1,,
at,113.0,WINTERMENGGETREIDE,WINTER MESLIN,3310111001,winter_mixed_grains,WINTER CEREALS,WINTER GRAINS,"Woven fabrics containing predominantly, but < 85 % cotton by weight, mixed principally or solely with man-made fibres, mixed principally or solely with man-made fibres, mixed principally or solely with man-made fibres",0,1,,
at,114.0,SOMMERMENGGETREIDE,SUMMER MESLIN,3310111002,spring_mixed_grains,SUMMER CEREALS,SUMMER GRAINS,mesmerized cereals,0,1,,
at,115.0,ERBSEN - GETREIDE GEMENGE,PEAS - GRAIN MIX,3310201080,peas,PEAS - CEREAL MIXTURE,PEAS - CEREAL MIXTURE,Peas - grains,1,,,
at,116.0,WINTERTRITICALE,WINTER TRITICALE,3310108001,winter_triticale,WINTER RITICALS,WINTER TRITICALE,winter triticale,0,1,,
at,117.0,SORGHUM,SORGHUM,3310116000,sorghum,SORGHUM,Sorghum,sorghum,1,,,
at,118.0,HIRSE,MILLET,3310109000,millet,MILLET,MILLET,brain,0,1,,
at,119.0,BUCHWEIZEN,BUCKWHEAT,3310703020,buckwheat,BUCKWHEAT,BUCKWHEAT,Buckwheat,1,,,
at,120.0,KANARIENSAAT,CANARY SEED,3320201100,canary_seed_canaryseed,CANARY SEED,CANARY SEED,Canary seed,1,,,
at,125.0,WINTERGERSTE / FELDGEMÜSE,WINTER BARLEY / FIELD VEGETABLES,3310104001,winter_barley,WINTER BARLEY / FIELD VEGETABLES,WINTER BARLEY / FIELD VEGETABLES,winter barley / field vegetables,1,,,
at,126.0,SOMMERGERSTE / FELDGEMÜSE,SUMMER BARLEY / FIELD VEGETABLES,3310104002,spring_barley,SUMMER BARLEY / FIELD VEGETABLES,SUMMER BARLEY / FIELD VEGETABLES,summer barley / field vegetables,1,,,
at,127.0,WINTERMENGGETREIDE / FELDGEMÜSE,WINTER CEREALS / FIELD VEGETABLES,3310111001,winter_mixed_grains,WINTER CEREALS / FIELD VEGETABLES,WINTER GRAINS / FIELD VEGETABLES,winter meslins / field vegetables,0,1,,
at,128.0,SOMMERMENGGETREIDE / FELDGEMÜSE,SUMMER CEREALS / FIELD VEGETABLES,3310111002,spring_mixed_grains,SUMMER CEREALS / FIELD VEGETABLES,SUMMER GRAINS / FIELD VEGETABLES,summer meslins / field vegetables,0,1,,
at,129.0,ERBSEN - GETREIDE GEMENGE / FELDGEMÜSE,PEAS - GRAIN MIX / FIELD VEGETABLES,3310201080,peas,PEAS - CEREAL MIXTURE / FIELD VEGETABLES,PEAS - GRAIN MIXTURE / FIELD VEGETABLES,peas - cereals mixed / field vegetables,1,,,
at,130.0,WINTERTRITICALE / FELDGEMÜSE,WINTER TRITICALE / FIELD VEGETABLES,3310108001,winter_triticale,WINTER TRITICALS / FIELD VEGETABLES,WINTER TRITICALE / FIELD VEGETABLES,winter triticale / field vegetables,1,,,
at,131.0,MAIS CORN-COB-MIX (CCM) / FELDGEMÜSE,CORN CORN COB MIX (CCM) / FIELD VEGETABLES,3310106000,maize_corn_popcorn,CORN CORN-COB MIX (CCM) / FIELD VEGETABLES,CORN COB MIX (CCM) / FIELD VEGETABLES,mais corn-cob-mix (ccm) / field vegetables,1,,,
at,132.0,HIRSE / FELDGEMÜSE,MILLET / FIELD VEGETABLES,3310109000,millet,MILLET / FIELD VEGETABLES,MILLET / FIELD VEGETABLES,brains/field vegetables,0,1,,
at,133.0,WINTERHAFER / FELDGEMÜSE,WINTER Oats/ FIELD VEGETABLES,3310105001,winter_oats,WINTER OATS / FIELD VEGETABLES,WINTER OATS / FIELD VEGETABLES,winter sharks / field vegetables,0,1,,
at,134.0,ZUCKERMAIS / FELDGEMÜSE,SUGAR CORN / FIELD VEGETABLES,3310106000,maize_corn_popcorn,SWEET CORN / FIELD VEGETABLES,SWEET CORN / FIELD VEGETABLES,sugar corn/field vegetables,1,,,
at,135.0,GRÜNMAIS,GREEN CORN,3310106000,maize_corn_popcorn,GREENE CORN,GREEN CORN,greencorn,1,,,
at,137.0,SOMMERWEICHWEIZEN,SUMMER COMMON WHEAT,3310101002,spring_common_soft_wheat,SUMMER SOFT WHEAT,SUMMER SOFT WHEAT,Summer soft wheat,1,,,
at,138.0,WINTERWEICHWEIZEN,WINTER SOFT WHEAT,3310101001,winter_common_soft_wheat,WINTER SOFT WHEAT,WINTER SOFT WHEAT,Winter soft wheat,1,,,
at,139.0,SOMMERWEICHWEIZEN / FELDGEMÜSE,Summer Soft Wheat / Field Vegetables,3310101002,spring_common_soft_wheat,SUMMER SOFT WHEAT / FIELD VEGETABLES,SUMMER SOFT WHEAT / FIELD VEGETABLES,summer soft wheat / field vegetables,1,,,
at,140.0,WINTERWEICHWEIZEN / FELDGEMÜSE,WINTER SOFT WHEAT / FIELD VEGETABLES,3310101001,winter_common_soft_wheat,WINTER SOFT WHEAT / FIELD VEGETABLES,WINTER SOFT WHEAT / FIELD VEGETABLES,winter soft wheat / field vegetables,1,,,
at,141.0,SOMMERROGGEN,SUMMER RYE,3310103002,spring_rye,SUMMER RYE,SUMMER RYE,summer rye,1,,,
at,142.0,WINTERROGGEN,WINTER RYE,3310103001,winter_rye,WINTER RYE,WINTER RYE,Winter rye,1,,,
at,143.0,SOMMERROGGEN / FELDGEMÜSE,SUMMER RYE / FIELD VEGETABLES,3310103002,spring_rye,SUMMER RYE / FIELD VEGETABLES,SUMMER RYE / FIELD VEGETABLES,summer rye / field vegetables,1,,,
