nuts,original_code,original_name,translated_name,hcat4_code,hcat4_name,g_tname,dpl_tname,opus_tname,translation_flag,type_error,Notes,Niche/uncommon name/spelling error/abbreviation
be3,19.0,Culture hydroponique ou aquaponique ,Hydroponic or aquaponic cultivation,3390000000,not_known_and_other,Hydroponics or aquaponics,Hydroponics or aquaponics ,Hydroponic or aquaponic culture ,1,,,
be3,2.0,Autres bâtiments,Other buildings,3390000000,not_known_and_other,Other buildings,Other buildings,Other buildings,1,,,
be3,201.0,Maïs ensilage,Silage Maize,3310106000,maize_corn_popcorn,Corn silage,Silage corn,Maize silage,1,,,
be3,202.0,Maïs grain,Grain corn,3310106000,maize_corn_popcorn,Grain corn,Grain corn,Maize (corn),1,,,
be3,311.0,Froment d'hiver,Winter wheat,3310101001,winter_common_soft_wheat,Winter wheat,Winter wheat,Winter cheese,0,1,,
be3,312.0,Froment de printemps,Spring wheat,3310101002,spring_common_soft_wheat,Spring wheat,Spring wheat,Spring cheese,0,1,,
be3,321.0,Orge d'hiver,Winter barley,3310104001,winter_barley,Winter barley,Winter barley,Winter Barley,1,,,
be3,322.0,Orge de printemps,Spring barley,3310104002,spring_barley,Spring barley,Spring barley,Spring barley,1,,,
be3,323.0,Orge de brasserie,Malting barley,3310104000,barley,Malting barley,Malting barley,Brewery barley,1,,,
be3,331.0,Seigle d'hiver,Winter rye,3310103001,winter_rye,Winter rye,Winter rye,Winter rye,1,,,
be3,332.0,Seigle de printemps,Spring rye,3310103002,spring_rye,Spring rye,Spring rye,Spring rye,1,,,
be3,34.0,Avoine,Oats,3310105000,oats,Oats,Oats,Oats,1,,,
be3,341.0,Avoine d'hiver,Winter oats,3310105001,winter_oats,Winter oats,Winter oats,Winter oatmeal,1,,,
be3,342.0,Avoine de printemps,Spring oats,3310105002,spring_oats,Spring oats,Spring oats,Spring oatmeal,1,,,
be3,351.0,Triticale d'hiver,Winter triticale,3310108001,winter_triticale,Winter triticale,Winter triticale,Winter Triticale,1,,,
be3,352.0,Triticale de printemps,Spring triticale,3310108002,spring_triticale,Spring triticale,Spring triticale,Spring Triticale,1,,,
be3,36.0,Epeautre d'hiver,Winter spelt,3310110001,winter_spelt,Winter spelled,Winter spelt,Winter spectator,0,1,,
be3,361.0,Epeautre de printemps,Spring spelt,3310110002,spring_spelt,Spring spelled,Spring spelt,Spring sprawl,0,1,,
be3,362.0,Petit épeautre,Einkorn,3310113000,einkorn,Einkorn,Einkorn wheat,Small spelt,0,1,,
be3,37.0,Sarrasin,Buckwheat,3310703020,buckwheat,Buckwheat,Buckwheat,Sarrasin,0,1,,
be3,381.0,Sorgho,Sorghum,3310116000,sorghum,Sorghum,Sorghum,Sorghum,1,,,
be3,382.0,Quinoa,Quinoa,3310703030,quinoa,Quinoa,Quinoa,Quinoa,1,,,
be3,383.0,Millet,Millet,3310109000,millet,Millet,Nation,Thousand,0,1,,
be3,39.0,Céréales et légumineuses,Cereals and legumes,3310198000,unspecified_cereals,Cereals and legumes,Grains and legumes,Cereals and pulses,1,,,
be3,391.0,Mélange de céréales d'hiver ( plus de 50%) et de  légumineuses (plus de 20%),Mixture of winter cereals (over 50%) and legumes (over 20%),3310198001,winter_unspecified_cereals,Mixture of winter cereals (more than 50%) and legumes (more than 20%),Mixture of winter cereals (more than 50%) and legumes (more than 20%),Mix of winter cereals (more than 50%) and legumes (more than 20%),1,,,
be3,392.0,Mélange de céréales de printemps ( plus de 50%) et de  légumineuses (plus de 20%),Mixture of spring cereals (over 50%) and legumes (over 20%),3310198002,spring_unspecified_cereals,Mixture of spring cereals (more than 50%) and legumes (more than 20%),Mixture of spring cereals (more than 50%) and legumes (more than 20%),Mix of spring cereals (more than 50%) and legumes (more than 20%),1,,,
