nuts,original_code,original_name,translated_name,hcat4_code,hcat4_name,g_tname,dpl_tname,opus_tname,translation_flag,type_error,Notes,Niche/uncommon name/spelling error/abbreviation
bg,10001.0,Unknown,unknown,3390000000,not_known_and_other,,,,,,,
bg,10002.0,Басми,tobacco,3310601000,tobacco,Basmi,Basmi,Bass,0,3,Basma - Tobacco,1
bg,10003.0,Бърлей,tobacco,3310601000,tobacco,Burleigh,Burleigh,Burlay.,0,3,Burley tobacco,1
bg,10004.0,Бяла върба,White willow,3360800000,willows_osiers,White willow,White willow,White willow,1,,,
bg,10005.0,Бяла топола,White poplar,3360700000,populus,White poplar,White poplar,White poplar,1,,,
bg,10006.0,Бяла черница,White mulberry,3330299000,other_berries_berry_species,White mulberry,White mulberry,White mulberry,1,,,
bg,10007.0,Винени лозя,Wine vineyards,3330600000,vineyards_wine_vine_rebland_grapes,Wine vineyards,Vineni lozia,Wine vineyards,0,2,vineyards for wine,1
bg,10008.0,Виржиния,Virginia tobacco,3310601000,tobacco,Virginia,Virginia,Virginia,0,1,,
bg,10009.0,Влакнодайни култури,Fibre crops,3310611000,fibre_crops,Fiber crops,Fibre crops,Fiber crops,1,,,
bg,10010.0,ДРУГИ  ТРАЙНИ НАСАЖДЕНИЯ,OTHER PERMANENT CROPS,3330000000,permanent_crops_perennial,OTHER PERMANENT PLANTATIONS,OTHER PERMANENT CROPS,OTHER TRADITIONS,0,1,,
bg,10011.0,Декоративни храсти,Ornamental shrubs,3330800000,shrubberries_shrubs,Ornamental shrubs,Ornamental shrubs,Decorative shrubs,1,,,
bg,10012.0,Десертни лозя,Dessert vineyards,3330600000,vineyards_wine_vine_rebland_grapes,Dessert vineyards,Dessert vine,Dessert vineyards,1,,,
bg,10013.0,Други декоративни растения,Other ornamental plants,3310800000,flowers_ornamental_plants,Other ornamental plants,Other ornamental plants,Other ornamental plants,1,,,
bg,10014.0,Други зеленчукови култури,Other vegetable crops,3310700000,fresh_vegetables,Other vegetable crops,Other vegetable crops,Other vegetable crops,1,,,
bg,10015.0,Други овощни видове,Other fruit types,3330100000,orchards_fruits,Other fruit types,Other fruit species,Other orchard species,1,,,
bg,10016.0,Дървесни култури с кратък цикъл на ротация,Tree crops with a short rotation cycle,3360000000,tree_wood_forest,Tree crops with a short rotation cycle,Tree crops with a short rotation cycle,Wood crops with a short rotation cycle,1,,,
bg,10017.0,Едногодишни фуражни култури,Annual forage crops,3310000000,arable_crops,Annual forage crops,Annual forage crops,Annual feed crops,1,,,
bg,10018.0,Зеленчуци,Vegetables,3310700000,fresh_vegetables,Vegetables,Vegetables,Vegetables,1,,,
bg,10019.0,Зърнено-бобови култури,Grain and legume crops,3310100000,cereal,Grain and legume crops,Grain legumes,Cereals,0,1,,
bg,10020.0,Зърнено-житни култури,Cereals,3310100000,cereal,Cereals and grains,Cereals,Cereals,0,1,,
bg,10021.0,Изкуствени ливади,Cultivated meadows,3320000000,grassland_grass,Artificial meadows,Artificial meadows,Artificial meadows,0,2,Human cultivated meadows,1
bg,10022.0,Източен чинар,Oriental Plane,3369900000,other_tree_wood_forest,Eastern plane tree,Eastern sycamore,Eastern chinar,0,3,Oriental Plane,1
bg,10023.0,Индустриални култури,Industrial crops,3310600000,industrial_nonfood_crops,Industrial crops,Industrial crops,Industrial crops,1,,,
bg,10024.0,КАРТОФИ,POTATOES,3310300000,potatoes,POTATOES,CARTOFI,CARTOFIES,0,1,,
bg,10025.0,КУЛТИВИРАНИ ГЪБИ,CULTIVATED MUSHROOMS,3349900000,other_mushrooms,CULTIVATED MUSHROOMS,CULTIVATED MUSHROOMS,CULTURED FURNITURES,0,1,,
bg,10026.0,Каба-кулак,tobacco,3310601000,tobacco,Kaba-kulak,Kaba fist,Kaba-kulak,0,3,Kaba Kulak tobacco,1
bg,10027.0,Кореноплодни зеленчукови култури,Root vegetables,3310715000,root_vegetables,Root vegetable crops,Root vegetable crops,Root vegetables,1,,,
bg,10028.0,Костилкови овощни видове,Stone fruit species,3330100000,orchards_fruits,Stone fruit species,Stem fruit species,Stone orchards,0,1,,
bg,10029.0,ЛОЗЯ,VINEYARD,3330600000,vineyards_wine_vine_rebland_grapes,VINEYARD,BLADE,LOSEYA,0,3,VINEYARD,1
bg,10030.0,Леска,Hazel,3330302000,hazelnuts_hazel,Hazelnut,fishing line,Hazelnuts/cobnuts,0,1,,
bg,10031.0,Ливади за косене,Mowing meadows,3320000000,grassland_grass,Meadows for mowing,Meadows for mowing,Mowing meadows,1,,,
bg,10032.0,Листностъблени зеленчукови култури,Leafy vegetable crops,3310717990,other_salads_lettuce_leaf_vegetables,Leafy vegetable crops,Leafy vegetable crops,Leafy vegetable crops,1,,,
bg,10033.0,Лозов посадъчен материал,Vine planting material,3330600000,vineyards_wine_vine_rebland_grapes,Vine planting material,Vine planting material,Vegetative planting material,0,1,,
bg,10034.0,Луковични зеленчукови култури,Bulb vegetable crops,3310708000,alliums,Bulb vegetable crops,Bulbous vegetable crops,Bulb vegetables,1,,,
bg,10035.0,МНОГОГОДИШНИ МЕДИЦИНСКИ И АРОМАТНИ КУЛТУРИ,PERENNIAL MEDICINAL AND AROMATIC CROPS,3310612000,aromatic_medicinal_culinary_plants_spices_herbs,PERENNIAL MEDICINAL AND AROMATIC CROPS,PERENNIAL MEDICINAL AND AROMATIC CROPS,MANY MEDICAL AND AROMATE CULTURES,1,,,
