nuts,original_code,original_name,translated_name,hcat4_code,hcat4_name,g_tname,dpl_tname,opus_tname,translation_flag,type_error,Notes,Niche/uncommon name/spelling error/abbreviation
cz,10.0,Ředkev olejná,Radishes,3310715040,radish,Radish oil,Oil radish,Olives for oil production,0,,,
cz,100.0,Oves nahý jarní,Naked spring oats,3310105002,spring_oats,Naked spring oats,Naked spring oats,Oats nude spring,1,,,
cz,101.0,Oves pluchatý jarní,Fluffy spring oats,3310105002,spring_oats,Fluffy spring oats,Spring hulled oats,"Oats, prunes, prunes, prunes, prunes, prunes, prunes, prunes, prunes, prunes, prunes, prunes, prunes, prunes, prunes, prunes, prunes, prunes, prunes, prunes, prunes, prunes, prunes, prunes, prunes, prunes, prunes, prunes, prunes, prunes, prunes, prunes, prunes, prunes, prunes, prunes, prunes, prunes, prunes, prunes",0,1,,
cz,102.0,Pohanka obecná,Buckwheat,3310703020,buckwheat,Buckwheat,Common buckwheat,Buckwheat,1,,,
cz,103.0,Proso seté,Millet,3310109000,millet,Sown millet,Millet,Millet,1,,,
cz,10315.0,Bojínek hlíznatý,Phleum bertolonii (grass),3320201000,poaceae_grasses,Tuberous warbler,Tuberous bojinek,Cinnamon,0,1,,
cz,104.0,Pšenice setá jarní,Spring Wheat,3310101002,spring_common_soft_wheat,Wheat is sown in spring,Spring wheat,Common wheat,1,,,
cz,105.0,Pšenice setá ozimá,Winter Wheat,3310101001,winter_common_soft_wheat,Wheat is sown in winter,Winter wheat,Wheat (Winter wheat),1,,,
cz,106.0,Pšenice špalda ozimá,Winter Spelt,3310110001,winter_spelt,Wheat spelled overwinters,Winter spelt wheat,Common wheat,0,1,,
cz,107.0,Pšenice tvrdá jarní,Durum wheat spring,3310102002,spring_durum_hard_wheat,Durum spring wheat,Durum wheat,Durum wheat spring,1,,,
cz,108.0,Pšenice tvrdá ozimá,Durum wheat winter,3310102001,winter_durum_hard_wheat,Durum winter wheat,Durum wheat,"Durum wheat, winter",1,,,
cz,109.0,Tritikale jarní,Spring triticale,3310108002,spring_triticale,Spring triticale,Spring triticale,Spring triticale,1,,,
cz,11.0,Sléz přeslenitý,Chinese mallow,3310828000,malva,Mallow,Mallow,Climbing-slide-slope-slope-slope-slope-slope-slope-slope-slope-slope-slope-slope-slope-slope-slope-slope-slope-slope-slope-slope-slope-slope-slope-slope-slope-slope-slope-slope-slope-slope-slope-slope-slope-slope-slope-slope-slope-slope-slope-slope-slope-slope-slope-slope-slope-slope-slope-slope-slope-slope-slope-slope-slope-slope-slope-slope-slope-slope-slope,0,1,,
cz,110.0,Tritikale ozimé,Winter triticale,3310108001,winter_triticale,Winter triticale,Triticale ozimé,Winter triticale,1,,,
cz,111.0,Žito jarní,Spring rye,3310103002,spring_rye,Spring rye,Spring wheat,Rye,1,,,
cz,112.0,Žito ozimé,Winter rye,3310103001,winter_rye,Winter rye,Winter wheat,Rye,1,,,
cz,113.0,Lesknice kanárská,Canary grass ,3320209900,other_poaceae_grasses,Canary firefly,Canary Island wax tree,"Canary leaves (green, green, green, green, green, green, green and white)",0,3,,1
cz,114.0,Pšenice dvouzrnka,Emmer wheat ,3310112000,emmer,Durum wheat,Emmer wheat,Two-grain wheat,0,3,,1
cz,12.0,Svazenka vratičolistá,Lacy phacelia,3311300000,phacelia,Bunch of leaves,Yarrow,Red-necked brigade,0,3,,1
cz,125.0,Laskavec,amaranth,3310703010,amaranth,A kind man,Flatterer,The Kind One,0,3,,1
cz,130.0,Měsíček lékařský,pot marigold,3310612100,calendula_marigold,Calendula,Calendula,Medlar,0,1,,
cz,14.0,Kapusta krmná,Fodder Cabbage,3310707990,other_brassicaceae_cruciferae,Cabbage feed,Fodder cabbage,"Edible peel, fresh or chilled",0,1,,
cz,147.0,Slunečnice (jinde neuvedená),Sunflower (not elsewhere specified),3310604020,sunflower,Sunflower (not elsewhere specified),Sunflowers (not elsewhere specified),Sunflower (not elsewhere specified),1,,,
cz,15.0,Šťovík (jinde neuvedený),Sorrel (not elsewhere specified),3310717060,sorrel,Sorrel (not elsewhere specified),Sorrel (not listed elsewhere),Juice (not mentioned elsewhere),0,1,,
cz,16.0,Tuřín,Swedes,3310715070,swede_rutabaga,Turnip,Turnip,Swedes,0,1,,
cz,165.0,Bazalka,Basil,3310612070,basil,Basil,Basil,Basil,1,,,
cz,178.0,Aksamitník (afrikán),Tagetes,3310847000,tagetes,Velveteen (African),African marigold,Acsamite (Afrikaans),0,1,,
cz,18.0,Kopr vonný,Dill,3310612030,anethum_dill,Dill,Dill,Cabbage roots/manioc,0,1,,
cz,19.0,Koriandr setý,Coriander,3310612150,coriander,Coriander,Koriandr setý,Coriander,0,1,,
cz,2.0,Cukrovka,sugar beet,3310719010,sugar_beet,Diabetes,Diabetes,Diabetes,0,3,"Standard name is Cukrová řepa, Cukrovka is colloquial ",2
cz,20.0,Majoránka zahradní,Garden marjoram,3310612990,other_aromatic_medicinal_culinary_plants_spices_herbs,Garden marjoram,Garden marjoram,Land cress,0,1,,
cz,20002.0,Topol Maximovičův a jeho kříženci,Populus maximowiczii Henry,3360700000,populus,Poplar Maximovich and its hybrids,Topol Maximovich and his hybrids,Topol Maximovich and his hybrids,0,3,,1
cz,20004.0,Topol chlupatoplodý a jeho kříženci,Populus trichocarpa,3360700000,populus,Poplar and its hybrids,Hairy-fruited poplar and its hybrids,Topol hairy and its crossbreeds,0,3,,1
cz,20005.0,Topol vznešený a jeho kříženci,Populus ×generosa,3360700000,populus,Poplar noble and its hybrids,The noble poplar and its hybrids,Topol the noble and his crossbreeds,0,1,,
cz,20007.0,Topol kanadský,Populus × canadensis,3360700000,populus,Canadian poplar,Canadian poplar,Topol Canadian,0,1,,
cz,20008.0,Topol Simonův a jeho kříženci,Populus simonii,3360700000,populus,Simon's poplar and its hybrids,Simon's poplar and its hybrids,Topol Simon's and his hybrids,0,1,,
cz,20010.0,Topol balzámový a jeho kříženci,Populus balsamifera,3360700000,populus,Balsam poplar and its hybrids,Linden balm and its hybrids,Topol balsam and its cross-breeds,0,1,,
cz,20011.0,Topol černý,Populus nigra,3360700000,populus,Black poplar,Black poplar,Black poplar,1,,,
cz,20012.0,Topol osika,Populus aspen,3360200000,aspen,Poplar aspen,Top of the season,Topol asika,0,3,,1
cz,20013.0,Vrba bílá a její kříženci,White willow and its hybrids,3360800000,willows_osiers,White willow and its hybrids,White willow and its hybrids,White Willow and its crossbreeds,1,,,
cz,20014.0,Vrba jíva a její kříženci,goat willow and its hybrids,3360800000,willows_osiers,Willow and its hybrids,The willow and its hybrids,Willow feed and its crossbreeds,1,,,
cz,20015.0,Vrba košíkářská a její kříženci,basket willow and its hybrids,3360800000,willows_osiers,Basket willow and its hybrids,The basket willow and its hybrids,Willow of basketball and its cross-breeds,1,,,
cz,20017.0,Jasan ztepilý,European Ash,3369900000,other_tree_wood_forest,Common ash,European ash,Sure thing.,0,1,,
cz,20018.0,Olše lepkavá,European alder,3369900000,other_tree_wood_forest,Sticky alder,Sticky alder,"Gooseberries (green, red and yellow)",0,1,,
cz,21.0,Andělika lékařská,Norwegian angelica,3310612040,angelica,The angel of medicine,Angelica,Scaroles/broad-leaved-leaved-leaved-leaved-leaved-leaved-leaved-leaved-leaved-leaved-leaved-leaved-leaf endives,0,1,,
cz,23.0,Benedikt lékařský (čubet),St. Benedict's thistle,3310612990,other_aromatic_medicinal_culinary_plants_spices_herbs,Benedict the physician (chubet),Benedictine (chub),Medlar Benedict (chubet),0,3,,1
cz,246.0,Mateřídouška,Thyme,3310612370,thyme,Thyme,Thyme,Mm-hmm. - Mm-hmm. - Mm-hmm. - Mm-hmm. - Mm-hmm. - Mm-hmm.,0,1,,
cz,249.0,Čirok sudanská tráva,Sorghum × drummondii,3310116000,sorghum,Sorghum Sudan grass,Sudan grass,Cherimoyas (Cherimoyas spp.),0,1,,
cz,25.0,Divizna velkokvětá,dense-flowered mullein,3310899000,other_flowers_ornamental_plants,Large-flowered division,Mullein,Large-flowered division,0,1,,
cz,250.0,Hořčice sareptská (hnědá),Sarepta mustard (brown),3310707010,mustard,Sarepta mustard (brown),Sareptian mustard (brown),Sarepta mustard (brown),1,,,
cz,251.0,Řepice ozimá,Rapeseed winter,3310604011,winter_rapeseed_rape,Canola is wintering,Winter turnip,Lime (linden),0,1,,
cz,252.0,Hořčice bílá,White mustard,3310707010,mustard,White mustard,White mustard,White mustard,1,,,
cz,253.0,Kmín kořenný ozimý,winter Caraway,3310612110,caraway,Cumin root winter,Winter caraway,Winter cumin,0,1,,
cz,255.0,Len olejný,flax oil,3310607000,flax_linseed,Oily flax,Only oil,Oilseed,0,1,,
cz,256.0,Len přadný,flax,3310607000,flax_linseed,Flax warp,Only forward,Fermented flax,0,3,Refers to a specific long stemmed flax,1
cz,257.0,Lnička setá jarní,Gold of pleasure spring,3310615000,camelina,The heifer is sown in the spring,Spring flax,Gold of pleasure,0,3,,1
cz,258.0,Lnička setá ozimá,Gold of pleasure winter,3310615000,camelina,The heifer is sown during the winter,Winter flax,Gold of pleasure,0,3,,1
cz,26.0,Heřmánek pravý,Chamomile,3310612130,chamomile,Chamomile,Chamomile,Chamomile,1,,,
cz,260.0,Řepka jarní,Rapeseed Spring,3310604012,spring_rapeseed_rape,Spring rape,Spring rapeseed,Spring beet,0,1,,
cz,261.0,Řepka ozimá,Rapeseed winter,3310604011,winter_rapeseed_rape,Rape winters,Winter rapeseed,Lime (linden),0,1,,
cz,262.0,Slunečnice roční,Annual sunflower,3310604020,sunflower,Annual sunflower,Sunflowers annual,Sunflowers,1,,,
cz,263.0,Sója,Soybean,3310201030,soy_soybeans,Soya,Soy,Soya,1,,,
cz,264.0,Světlice barvířská,Safflower,3310839000,safflower,Dyer's firefly,Dyer's rocket,Safflower,0,1,,
cz,276.0,Jahodník,Strawberry,3310701000,strawberries,Strawberry,Strawberry,Strawberry,1,,,
cz,28.0,Jablečník obecný,Common apple tree,3330102000,apples,Common apple tree,Common apple tree,Common apples/pony apples/pony apples/pony apples/pony apples/pony apples/pony apples/pony apples/pony apples/pony apples/pony apples/pony apples/pomegranates,1,,,
cz,3.0,Řepa krmná,fodder beet ,3310719020,mangelwurzel_beets,Beet feed,Fodder beet,Beetroot,0,1,,
