nuts,original_code,original_name,translated_name,hcat4_code,hcat4_name,g_tname,dpl_tname,opus_tname,translation_flag,type_error,Notes,Niche/uncommon name/spelling error/abbreviation
de4,1.0,Hecken oder Knicks (> 20m) CC,Hedges or curtsies (> 20m) CC,3390000000,not_known_and_other,Hedges or knicks (> 20m) CC,Hedges or hedgerows (> 20 m) CC,Hedges or kinks (> 20m) CC,1,,,
de4,10.0,Einjährige Blühstreifen AUKM,Annual flower strips AUKM,3310800000,flowers_ornamental_plants,Annual flower strips AUKM,Annual flower strips AUKM,One-year flowering strips AUKM,1,,,
de4,10001.0,Genehmigungspflichtige Baumaßnahmen,Approval-required construction measures,3390000000,not_known_and_other,Construction measures requiring approval,Construction projects requiring approval,Construction works subject to authorisation,1,,,
de4,10004.0,"Nicht genehmigungspflichtiger Lagerplatz (Stroh, Futter, Silage)","Storage area not subject to approval (straw, fodder, silage)",3390000000,not_known_and_other,"Storage space that does not require approval (straw, feed, silage)","Storage area not subject to approval (straw, feed, silage)","Storage place not subject to authorisation (straw, fodder, silage)",1,,,
de4,10005.0,Keine Nutzung,not used,3390000000,not_known_and_other,No use,No use,No use,1,,,
de4,10006.0,Pflanzkartoffeln,Seed potatoes,3310300000,potatoes,Seed potatoes,seed potatoes,Potatoes,1,,,
de4,10011.0,"Naturstein- o. Trockenmauern, Lesesteinwälle","Natural stone or dry stone walls, reading stone walls",3390000000,not_known_and_other,"Natural stone or dry stone walls, reading stone walls","Natural stone or dry stone walls, cairns","Natural stone or dry stone walls, reading stone walls",1,,,
de4,10012.0,"Fels- u. Steinriegel, naturversteinte Fl.","Rock & stone bars, natural petrified fl.",3390000000,not_known_and_other,"Rock and stone bars, natural stone surfaces.","Fels- u. Steinriegel, natural stone wall.","Rock and stone bars, natural stone fl.",1,,,
de4,10013.0,Feldvogelinseln AUKM,Field bird islands AUKM,3390000000,not_known_and_other,Field bird islands AUKM,Field Bird Islands AUKM,Field Bird Islands EUKM,1,,,
de4,10113.0,Sommerhartweizen/Durum,Summer durum wheat / durum,3310102002,spring_durum_hard_wheat,Spring durum wheat/durum,Summer wheat/durum,Summer hard wheat/durum,1,,,
de4,10114.0,Winter-Dinkel,Winter spelt,3310110001,winter_spelt,Winter spelled,Winter spelt,Winter-Dinkel,0,1,,
de4,10171.0,Körnermais,GRAIN CORN,3310106000,maize_corn_popcorn,Grain corn,Corn,Grain maize,1,,,
de4,10172.0,Mais (Biogas),Corn (biogas),3310106000,maize_corn_popcorn,Corn (biogas),Corn (Biogas),Maize (biogas),1,,,
de4,10190.0,"Getreide einer Gattung/Art, die in der aktuellen Liste nicht aufgeführt ist",Cereals of a genus/species not included in the current list,3310100000,cereal,Cereals of a genus/species not included in the current list,Cereals of a genus/species not included in the current list,Cereals of a genus/species not included in the current list,1,,,
de4,10210.0,Erbsen zur Körnergewinnung,Peas for grain production,3310201080,peas,Peas for grain production,Peas for grain production,Peas for grain production,1,,,
de4,10429.0,Alle anderen Futterpflanzen,All other fodder plants,3319900000,other_arable_land_crops,All other forage plants,All other forage plants,All other forage plants,1,,,
de4,10430.0,Serradella,serradella,3310202020,serradella,Serradella,Fava bean,Serradella,0,1,,
