nuts,original_code,original_name,translated_name,hcat4_code,hcat4_name,g_tname,dpl_tname,opus_tname,translation_flag,type_error,Notes,Niche/uncommon name/spelling error/abbreviation
dk,1.0,Vårbyg,Spring barley,3310104002,spring_barley,Spring barley,Spring barley,Spring barley,1,,,
dk,2.0,Vårhvede,Spring wheat,3310101002,spring_common_soft_wheat,Spring wheat,Spring wheat,Spring wheat,1,,,
dk,3.0,Vårhavre,Spring oats,3310105002,spring_oats,Spring oats,Spring oats,Spring oar,0,1,,
dk,4.0,Blanding af vårsåede kornarter,Mix of spring-sown cereal crops,3310198002,spring_unspecified_cereals,Mixture of spring-sown cereals,Mixture of spring-sown cereals,Mixing of seeded cereals,0,1,,
dk,5.0,Majs til modenhed,Maize for maturity,3310106000,maize_corn_popcorn,Maize to maturity,Corn until maturity,Maize to maturity,1,,,
dk,6.0,"Vårhvede, brødhvede",Spring wheat bread wheat,3310101002,spring_common_soft_wheat,"Spring wheat, bread wheat","Spring wheat, bread wheat","Spring wheat, bread wheat",1,,,
dk,7.0,Korn/bælgsæd max. 50% bælgsæd,Grain/legume max. 50% grain legumes,3310100000,cereal,Grain/legume max. 50% leguminous seed,Grains/legumes: max. 50% legumes,Cereals/legume seed max. 50% pulsed semen,1,,,
dk,8.0,Vårspelt,Spring spelt,3310110002,spring_spelt,Spring spell,Spring spelt,Turmeric/curcuma,0,1,,
dk,9.0,Vinterspelt,Winter spelt,3310110001,winter_spelt,Winter spell,Winter Spelt,Winter pelt,0,1,,
dk,10.0,Vinterbyg,Winter barley,3310104001,winter_barley,Winter barley,Winter barley,Winter barley,1,,,
dk,11.0,Vinterhvede,Winter wheat,3310101001,winter_common_soft_wheat,Winter wheat,Winter wheat,Winter wheat,1,,,
dk,13.0,"Vinterhvede, brødhvede",Winter wheat bread wheat,3310101001,winter_common_soft_wheat,"Winter wheat, bread wheat","Winter wheat, bread wheat","Winter wheat, bread wheat",1,,,
dk,14.0,Vinterrug,Winter rye,3310103001,winter_rye,Winter rye,Winter Back,Winter trough,0,1,,
dk,15.0,Vinterhybridrug,Winter hybrid rye,3310103001,winter_rye,Winter hybrid rye,Winter hybrid rye,Winter hybrid trough,0,1,,
dk,16.0,Vintertriticale,Winter triticale,3310108001,winter_triticale,Winter triticale,Winter triticale,Winter triticale,1,,,
dk,17.0,Blanding af efterårssåede kornarter,Mix of autumn-sown cereal varieties,3310198001,winter_unspecified_cereals,Mixture of autumn-sown cereals,Mixture of fall-sown cereals,Mixing of autumn-sowed cereals,1,,,
dk,18.0,Korn og bælgsæd (over 50 % bælgsæd),Grain and legumes (over 50% legumes),3310200000,legumes,Cereals and pulses (over 50% pulses),Cereals and legumes (more than 50% legumes),Cereals and grain legumes (more than 50% of pulses),1,,,
dk,19.0,Majs til modenhed med græsudlæg,Maize to maturity with grass cover,3310106000,maize_corn_popcorn,Maize to maturity with grass cover,Corn grown on grass-based forage,Maize (corn) for maturity with grass seed,1,,,
dk,21.0,Vårraps,Spring rape,3310604012,spring_rapeseed_rape,Spring rape,Spring rapeseed,Spring rape,1,,,
dk,22.0,Vinterraps,Winter rape,3310604011,winter_rapeseed_rape,Winter canola,Winter rapeseed,Winter rape,1,,,
dk,23.0,Rybs,Rapeseed,3310604010,rapeseed_rape,Turnip,Turnips,Shrimps and prawns,0,1,,
dk,24.0,Solsikke,Sunflower,3310604020,sunflower,Sunflower,Sunflower,Sunflower,1,,,
dk,25.0,Sojabønner,Soybeans,3310201030,soy_soybeans,Soybeans,Soybeans,Soya bean,1,,,
dk,26.0,Linser,Flax,3310201070,lentils,Lentils,Lenses,Lentils,0,1,,
dk,27.0,Kikærter,Chickpea,3310201040,chickpeas,Chickpeas,Chickpeas,Chickpeas,1,,,
dk,30.0,Ærter,unknown,3390000000,not_known_and_other,Peas,Peas,Peas,1,,,
dk,31.0,Hestebønner,Broad bean,3310201010,beans,Horse beans,Horse beans,Horse beans,0,2,literal translation,1
dk,32.0,Sødlupin,Sweet lupine,3310201090,lupins,Sweet lupine,Sweet lupine,Sweet lupin,1,,,
dk,35.0,Flerårig bælgsæd,Perennial legume,3310200000,legumes,Perennial leguminous seed,Perennial legume,Perennial pulse semen,1,,,
dk,36.0,"Bælgsæd, andre typer til modenhed blanding",Legumes other types for maturity mixing,3310200000,legumes,"Leguminous seed, other types for maturity mixture","Legumes, other varieties for a mixed harvest","Legume seed, other ripening mixtures",1,,,
dk,40.0,Oliehør,Oil flax,3310607000,flax_linseed,Oil flax,Oilseed flax,Oil flax,1,,,
dk,41.0,Spindhør,Spinning flax,3310607000,flax_linseed,Cobweb,Spun flax,Flax,0,1,,
dk,42.0,Hamp,Hemp,3310610000,hemp_cannabis,Hemp,Hamp,Hemp,1,,,
dk,44.0,Unknown,unknown,3390000000,not_known_and_other,Unknown,Unknown,Unknown,1,,,
dk,50.0,Anden bredbladet afgrøde,Other broadleaf crop,3310000000,arable_crops,Other broadleaf crop,Other broadleaf crops,Other broadleaf crops,1,,,
dk,51.0,"Blanding bredbladet afgrøde, frø/kerne",Mix broadleaf crop seed / core,3310000000,arable_crops,"Mix broadleaf crop, seed/kernel","Mixture of broadleaf crops, seeds/grains","Mix broad-leaved crop, seed/grain",1,,,
dk,52.0,Quinoa,Quinoa,3310703030,quinoa,Quinoa,Quinoa,Quinoa,1,,,
dk,53.0,Boghvede,Buckwheat,3310703020,buckwheat,Buckwheat,Buckwheat,Buckwheat,1,,,
dk,54.0,Bælgsæd blanding,Legume mixture,3310200000,legumes,Legume seed mixture,Legume mix,Legume seed mixture,1,,,
dk,55.0,Vårrug,Spring rye,3310103002,spring_rye,Spring rye,Spring rye,Springrug,0,1,,
dk,56.0,Vårtriticale,Spring triticale,3310108002,spring_triticale,Spring critical,Spring triticale,Spring triticale,0,1,,
dk,57.0,Vinterhavre,Winter oats,3310105001,winter_oats,Winter oats,Winter oats,Winter orchard,0,1,,
