nuts,original_code,original_name,translated_name,hcat4_code,hcat4_name,g_tname,dpl_tname,opus_tname,translation_flag,type_error,Notes,Niche/uncommon name/spelling error/abbreviation
ee,10001.0,Karjatamine väljaspool põllumaj. maad,Grazing outside agricultural land,3320100000,permanent_grassland,Grazing outside the farmhouse. land,Grazing outside agricultural land,grazing outside the agricultural holding. land,1,,,
ee,10002.0,"N siduv heint. ja N siduv põllumaj. kult. segu (N siduvaid kult. üle 50%, segus valdavalt heint.)",Mix of nitrogen-binding grasses and nitrogen-binding crops(over 50% nitrogen-binding crops mix contains mainly grasses),3310200000,legumes,"N binding hay. and N binding farm house. cult. mixture (N-binding crops over 50%, mostly grass in the mixture)","N-fixing grass and N-fixing agricultural crop mixture (N-fixing crops over 50%, mixture predominantly grass).","n binding hay. and n binding agricultural area. boar. mixture (n binding boar. more than 50%, mixed mainly with hay.)",1,,,
ee,10003.0,"N siduv heint. ja kõrreliste segu (N siduvaid heintaimi üle 50%, kõrrelisi heintaimi alla 50%)",Mix of nitrogen-binding grasses and graminoids (over 50% nitrogen-binding grasses less than 50% graminoid grasses),3310200000,legumes,"N binding hay. and a mixture of grasses (more than 50% N-fixing grasses, less than 50% grass grasses)","N-binding grasses and grass-forage mixture (N-binding grasses over 50%, grass-forage mixture under 50%)","n binding hay. a mixture of grasses (i.e. binding grasses more than 50%, grass grasses less than 50%)",1,,,
ee,10004.0,"N siduv heint. ja muu põllumaj. kult. segu (N siduvaid heint. üle 50%, muid kultuure alla 50%)",Mix of nitrogen-binding grasses and other crops (over 50% nitrogen-binding grasses less than 50% other crops).,3310200000,legumes,"N binding hay. and other farm house. cult. mixture (more than 50% of N-binding grasses, less than 50% of other crops)","N-fixing grasses and other agricultural crops (N-fixing grasses over 50%, other crops under 50%)","n binding hay. and other farmhouses. boar. mixture (n binding hay. more than 50%, other crops less than 50%)",1,,,
ee,10005.0,"N siduv heint. segu (N siduvaid heintaimi üle 50%, teisi liblikõielisi heintaimi alla 50%)",Mix of nitrogen-binding grasses (over 50% nitrogen-binding grasses less than 50% other leguminous grasses),3310200000,legumes,"N binding hay. mixture (more than 50% N-fixing grasses, less than 50% other legume grasses)","N-binding grass mixture (more than 50% N-binding grasses, less than 50% other leguminous grasses)","n binding hay. Blend (n. binding grasses more than 50%, other legume grasses less than 50%)",1,,,
ee,10006.0,N siduvate kaunviljade segu (N siduvaid kaunvilju segus üle 50%),Mix of nitrogen-binding pulses (pulses over 50%),3310200000,legumes,A mixture of N-fixing legumes (more than 50% of N-fixing legumes in the mixture),Mixture of N-fixing legumes (more than 50% N-fixing legumes in the mixture),n mixture of binding legumes (n more than 50% of the binding legumes in the mixture),1,,,
ee,10007.0,"Sangaste rukis allakülviga, v.a liblikõielise allakülviga",Rye of Sangaste with sowing except for sowing of legumes,3310103000,rye,"Under-sowing in Sangaste rye, except under-sowing with legume","Sangaste rye undersown, except for undersown with legumes",Sweetcorn (Zea mays var. saccharata) and other edible parts of plants prepared or preserved otherwise than by vinegar or acetic acid,0,1,,
ee,10008.0,Sangaste rukis allakülvita,Sangaste rye,3310103000,rye,Sow down in the rye of Sangaste,Sangaste rye undersown,Not in the form of cane rye,0,1,,
ee,10009.0,Sangaste rukis liblikõieliste allakülviga,"Rye """"Sangaste"""" undersown with legumes",3310103000,rye,Sangaste rye with leguminous subsowing,Sangaste rye with legume undersowing,Sweetcorn (Zea mays var. saccharata),0,1,,
ee,10010.0,Unknown,unknown,3390000000,not_known_and_other,Unknown,Unknown,kunnown,0,1,,
ee,10011.0,aed-apteegitill,garden fennel,3310704000,fennel,garden fennel,garden apothecary,Fennel,0,1,,
ee,10012.0,aedhernes,Green peas,3310201080,peas,garden pea,aedhernes,Peas (with pods),0,1,,
ee,10013.0,aedkoriander,garden coriander,3310612150,coriander,garden coriander,garden coriander,Carobs/Saint John's breads,0,1,,
