nuts,original_code,original_name,translated_name,hcat4_code,hcat4_name,g_tname,dpl_tname,opus_tname,translation_flag,type_error,Notes,Niche/uncommon name/spelling error/abbreviation
es,1.0,TRIGO BLANDO,SOFT WHEAT,3310101000,common_soft_wheat,SOFT WHEAT,SOFT WHEAT,common wheat,1,,,
es,10.0,MIJO,Millet,3310109000,millet,DARLING,MIJO,millet,0,1,,
es,0.0,Unknown,unknown,3390000000,not_known_and_other,unknown,unknown,unknown,1,,,
es,101.0,OLIVO,OLIVE,3330500000,olive,OLIVE,OLIVE,olive,1,,,
es,102.0,VIÑA,VINEYARD,3330600000,vineyards_wine_vine_rebland_grapes,VINEYARD,VIÑA,vine,0,1,,
es,103.0,UVA DE MESA,TABLE GRAPES,3330600000,vineyards_wine_vine_rebland_grapes,TABLE GRAPES,TABLE GRAPES,Table grapes,1,,,
es,104.0,ALMENDRO,ALMOND,3330301000,almond,ALMOND,ALMOND,almond,1,,,
es,105.0,MELOCOTONERO,PEACH TREE,3330111000,peach,PEACH TREE,MELOCOTONERO,peach,0,1,,
es,106.0,NECTARINO,NECTARINE,3330109000,nectarine,NECTARINE,NECTARINE,Nectarine,1,,,
es,107.0,ALBARICOQUERO,APRICOT,3330103000,apricots,APRICOT,ALBARICOQUERO,apricot,0,1,,
es,108.0,PERAL,PEAR TREE,3330112000,pears,PEAR TREE,PERAL,peral,0,1,,
es,109.0,MANZANO,APPLE TREE,3330102000,apples,APPLE TREE,MANZANO,apple,0,1,,
es,11.0,ALPISTE,Canary Grass,3320201100,canary_seed_canaryseed,BIRDSEED,ALPISTE,alpiste,0,3,Regional name of canary seed,2
es,110.0,CEREZO,CHERRY,3330104000,cherry_cherries,CHERRY,CHERRY,cherry,1,,,
es,111.0,CIRUELO,PLUM TREE,3330113000,plums,PLUM TREE,CIRUELO,plum,0,1,,
es,112.0,NOGAL,WALNUT,3330306000,walnuts,WALNUT,WALNUT,walnut,1,,,
es,113.0,OTROS FRUTALES,OTHER FRUIT TREES,3330100000,orchards_fruits,OTHER FRUIT TREES,OTHER FRUIT TREES,other fruit,1,,,
es,114.0,SUPERFICIES FORESTALES MADERABLES,TIMBER FOREST AREAS,3360000000,tree_wood_forest,TIMBER FOREST SURFACES,TIMBER FOREST AREAS,woodland areas,1,,,
es,115.0,OTRAS SUPERFICIES FORESTALES,OTHER FOREST AREAS,3360000000,tree_wood_forest,OTHER FOREST SURFACES,OTHER FOREST AREAS,other forest areas,1,,,
es,116.0,CHOPO,Populus,3360700000,populus,CHOP,CHOPO,popcorn,0,3,Common name of populus,1
es,117.0,CASTAÑO,CHESTNUT,3330305000,sweet_chestnuts,CHESTNUT,CHESTNUT,chestnut,1,,,
es,118.0,ESPECIES AROMÁTICAS LEÑOSAS,"Woody Aromatic Plants (rosemary, lavender, etc)",3310612000,aromatic_medicinal_culinary_plants_spices_herbs,WOODY AROMATIC SPECIES,WOODY AROMATIC SPECIES,woody aromatic species,1,,,
es,119.0,VIVERO - PRODUCTOR MVR,Nursery,3330700000,nurseries_nursery,NURSERY - MVR PRODUCER,NURSERY - PRODUCER MVR,nursery - producer mvr,1,,,
es,12.0,TRANQUILLÓN,Meslin,3310111000,mixed_grains,TRANQUILÓN,QUIET,Tranquillón,0,3,Regional name of meslin,2
es,120.0,VIÑA - OLIVAR,VINEYARD - OLIVE GROVE,3330600000,vineyards_wine_vine_rebland_grapes,VINEYARD - OLIVE GROVE,VINEYARD - OLIVE TREE,vineyard - olive grove,1,,,
es,121.0,BONIATO,SWEET POTATO,3310400000,sweet_potatoes,SWEET POTATO,BONIATO,sweet potato,0,1,,
