nuts,original_code,original_name,translated_name,hcat4_code,hcat4_name,g_tname,dpl_tname,opus_tname,translation_flag,type_error,Notes,Niche/uncommon name/spelling error/abbreviation
fi,1110.0,Syysvehnä,Winter wheat,3310101001,winter_common_soft_wheat,Winter wheat,Autumn wheat,Autumn lush,0,1,,
fi,1120.0,Kevätvehnä,Spring wheat,3310101002,spring_common_soft_wheat,Spring wheat,Spring wheat,Spring wheat,1,,,
fi,1130.0,Durumvehnä,Durum wheat,3310102000,durum_hard_wheat,Durum wheat,Durum wheat,Durum wheat,1,,,
fi,1141.0,Syysspelttivehnä,Autumn Spelt,3310110001,winter_spelt,Winter spelled wheat,Autumn wheat,"Scorzonera (Citrus spp., Citrus spp., Citrus spp., Citrus spp., Citrus spp., Citrus spp., Citrus spp., Citrus spp., Citrus spp., Citrus spp., Citrus spp., Citrus spp., Citrus spp., Citrus spp., Citrus spp., Citrus spp., Citrus spp.)",0,1,,
fi,1142.0,Kevätspelttivehnä,Spring Spelt,3310110002,spring_spelt,Spring spelled wheat,Spring wheat,Spring spelt,0,1,,
fi,1210.0,Syysruisvehnä,Winter Triticale,3310108001,winter_triticale,Winter rye wheat,Autumn wheat,Sorghum,0,1,,
fi,1211.0,Kevätruisvehnä,Spring Triticale,3310108002,spring_triticale,Spring rye wheat,Spring Rye,Spring rye wheat,0,1,,
fi,1220.0,Kevätruis,Spring rye,3310103002,spring_rye,Spring rye,Spring break,Spring rye,0,1,,
fi,1230.0,Syysruis,Autumn rye,3310103001,winter_rye,Autumn rye,Autumn Ferry,Spring onions/green onions/green onions/green onions/green onions/green onions/green onions/green onions,0,1,,
fi,1310.0,Rehuohra,Feed Barley,3310104000,barley,Feed barley,Barley,Retreading dregs,0,1,,
fi,1320.0,Mallasohra,Malt (barley),3310104000,barley,Malted barley,Barley malt,Malt barley,1,,,
fi,1330.0,Syysohra,Winter barley,3310104001,winter_barley,Autumn barley,Autumn barley,Autumn sorrel,0,1,,
fi,1400.0,Kaura,Oats,3310105000,oats,Oats,Oats,Oats,1,,,
fi,1410.0,Syyskaura,Autumn oats,3310105001,winter_oats,Autumn oats,Autumn oats,Separe,0,1,,
fi,1545.0,Seoskasvusto (viljat),Mixed crops (cereals),3310100000,cereal,Mixed crops (cereals),Mixed crops (cereals),Mixtures (cereals),1,,,
fi,1555.0,Seoskasvusto (vilja+öljykasvit),Mixed crops (cereals+oil crops),3310100000,cereal,Mixed cropping (cereal+oil crops),Mixed crops (cereals + oilseeds),Mixed crops (grains + oil crops),1,,,
fi,1601.0,Vihantavilja (ohra),Green fodder crops (barley),3310104000,barley,Vegetable cereal (barley),Green cereals (barley),Raspberries (red and yellow),0,1,,
fi,1602.0,Vihantavilja (kaura),Green fodder grain (oats),3310105000,oats,Vegetable cereal (oats),Green cereal (oats),"FRUITS, FRESH or FROZEN, FROZEN, FROZEN, FROZEN, FROZEN, FROZEN, FROZEN, FROZEN, FROZEN, FROZEN, FROZEN, FROZEN or FROZEN",0,1,,
fi,1603.0,Vihantavilja (vehnä),Green fodder grain (wheat),3310101000,common_soft_wheat,Vegetable cereal (wheat),Vegetable (wheat),Common millet/proso millet/proso millet/proso millet/wheat/wheat/wheat/wheat/wheat/wheat/wheat/wheat/wheat/wheat/wheat/wheat/wheat/wheat/wheat/wheat/wheat/wheat/wheat/wheat/wheat/wheat/wheat/wheat/wheat/wheat/wheat/wheat/wheat/wheat/wheat/wheat/wheat/wheat/wheat/wheat/wheat/wheat/wheat/wheat/wheat/wheat/wheat/wheat,0,1,,
fi,1604.0,Vihantavilja (ruis),Green fodder grain (Rye),3310103000,rye,Vegetable cereal (rye),Green cereal (rye),Raspberries (red and yellow),0,1,,
fi,1605.0,Vihantavilja (viljaseos),Green fodder grain (mixed cereals),3310100000,cereal,Vegetable cereal (cereal mixture),Green cereal (mixed cereals),Cereal groats (mixtures of cereals),0,1,,
fi,1700.0,Tattari,Buckwheat,3310703020,buckwheat,Buckwheat,Tattari,Buckwheat,0,1,,
fi,1710.0,Hirssi,Millet,3310109000,millet,Millet,Millet,Millet,1,,,
fi,1750.0,Kvinoa (kinua),Quinoa (quinoa),3310703030,quinoa,Quinoa (quinoa),Quinoa (quinua),Quinoa (Kinua),1,,,
fi,1800.0,Maissi,Corn,3310106000,maize_corn_popcorn,Corn,Corn,Maize,1,,,
fi,1810.0,Sokerimaissi,Sweet corn,3310106000,maize_corn_popcorn,Sweet corn,Sweet corn,Sweet corn,1,,,
fi,2110.0,Ruokaherne,Field Pea,3310201080,peas,Food pea,Food millet,"Peas (peas, peas, peas, peas, peas, peas, peas, peas, peas, peas, peas, peas, peas, peas, peas, peas), peas, peas, peas, peas, peas, peas, peas, peas, peas, peas, peas, peas, peas, peas, peas, peas, peas, peas, peas, peas)",0,1,,
fi,2120.0,Rehuherne,Fodder pea,3310201080,peas,Fodder pea,Rough pea,"Peas (peas, peas, peas, peas, peas, peas, peas, peas, peas, peas, peas, peas, peas, peas, peas, peas, peas, peas, peas, peas, peas, peas, peas, peas, peas, peas)",0,1,,
fi,2170.0,Seoskasvusto (valkuaiskasvit+öljykasvit),Mixed crops (protein crops+oil crops),3310200000,legumes,Mixed crop (protein plants + oil plants),Mixed crops (protein crops + oilseeds),Mixed crops (protein crops + oil crops),1,,,
fi,2175.0,Seos (herne/härkäpapu/makea lupiini/öljykasvit),Mixture (Pea/Farm Bean/Sweet Lupine/Oil Plants),3310200000,legumes,Mixture (pea/fava bean/sweet lupine/oil plants),Mixture (pea/bean/sweet lupin/oilseeds),Mixture (pea/bay bean/sweet lupine/oil plants),1,,,
fi,2176.0,Seos (herne/härkäpapu/makea lupiini/linssi/öljyk.),Mixture (pea/fava bean/sweet lupine/lentil/oil),3310200000,legumes,Mixture (pea/fava bean/sweet lupine/lentil/oil),Mixture (peas/fava beans/sweet lupins/lentils/oilseeds),Mixture (pea/bay bean/sweet lupine/lens/oil k.),1,,,
fi,2180.0,Seos herne/härkäpapu/makea lupiini yli 50 %+viljaa,Mixture of pea/broad bean/sweet lupine over 50%+cereal,3310200000,legumes,A mixture of pea/fava bean/sweet lupin over 50%+grain,Mixture of pea/beans/sweet lupin over 50%+cereals,Mixture of peas/cattle beans/sweet lupins > 50 % + cereals,1,,,
