nuts,original_code,original_name,translated_name,hcat4_code,hcat4_name,g_tname,dpl_tname,opus_tname,translation_flag,type_error,Notes,Niche/uncommon name/spelling error/abbreviation
fr,AAR,Plantes aromatiques herbacées non pérennes (< 5 ans) autres que persil,Non-perennial herbaceous aromatic plants (< 5 years) other than parsley,3310612000,aromatic_medicinal_culinary_plants_spices_herbs,Non-perennial herbaceous aromatic plants (< 5 years) other than parsley,Non-perennial herbaceous aromatic plants (< 5 years) other than parsley,Non-perennial herbaceous aromatic plants (< 5 years) other than parsley,1,,,
fr,ACA,Autre culture non précisée dans la liste (admissible),Other,3390000000,not_known_and_other,Other crop not specified in the list (eligible),Other crop not specified in the list (eligible),Other crop not specified in the list (allowable),1,,,
fr,ACP,Autre culture pérenne,Other perennial,3330000000,permanent_crops_perennial,Other perennial crop,Other perennial crops,Other perennial culture,1,,,
fr,AFG,"Autre plante fourragère annuelle (ni légumineuse, ni graminée, ni céréale, ni oléagineux)","Other annual fodder plant (neither legume, nor grass, nor cereal, nor oilseed)",3310000000,arable_crops,"Other annual forage plant (neither legume, nor grass, nor cereal, nor oilseed)","Other annual forage crop (neither legume, grass, cereal, nor oilseed)","Other annual forage (no leguminous, no grass, no cereal, no oilseeds)",1,,,
fr,AGR,Agrume,Citrus,3330400000,citrus,Citrus,Citrus fruits,Citrus,1,,,
fr,AIL,Aïl,Garlic,3310708020,garlic,Garlic,Garlic,Ail,0,1,,
fr,AME,Plantes médicinales et à parfum non pérennes (< 5 ans),Non-perennial medicinal and perfume plants (< 5 years),3310612000,aromatic_medicinal_culinary_plants_spices_herbs,Non-perennial medicinal and perfume plants (< 5 years),Non-perennial medicinal and perfume plants (< 5 years),Non-Permanent Perfume and Medicinal Plants (< 5 years),1,,,
fr,ANE,Aneth,Dill,3310612030,anethum_dill,Dill,No net,Aneth,0,1,,
fr,ANG,Angélique,Angelica,3310612040,angelica,Angelic,angelica,Angelic,0,1,,
fr,ANI,Anis,Anise,3310612050,anise_aniseed,Anise,I too,Anis,0,1,,
fr,ARA,Arachide ,Peanut,3310201020,peanuts,Peanut,Peanut ,Arachid ,0,,,
fr,ARP,Plante aromatique pérenne non arbustive ou arborée autre que la vanille,Non-shrubby perennial aromatic plant other than vanilla,3310612000,aromatic_medicinal_culinary_plants_spices_herbs,Non-shrub or tree-like perennial aromatic plant other than vanilla,"Perennial aromatic plant, other than vanilla, that is not a shrub or tree","Perennial aromatic plant, not shrubby or treed, other than vanilla",1,,,
fr,ART,Artichaut ,Artichoke,3310713000,artichoke,Artichoke,artichoke ,Artichoke ,1,,,
fr,AUB,Aubergine,Aubergine,3310712000,aubergine_eggplant,Eggplant,Eggplant,Eggplant,1,,,
fr,AVH,Avoine d'hiver,Winter oats,3310105001,winter_oats,Winter oats,Winter oats,Winter oatmeal,1,,,
fr,AVO,Avocat,Avocado,3330116000,avocado,Lawyer,Lawyer,Lawyer,0,2,Same term as lawyer,1
fr,AVP,Avoine de printemps,Spring oats,3310105002,spring_oats,Spring oats,Spring oats,Spring oatmeal,1,,,
fr,BAR,Bardane,Burdock,3310715010,arctium_burdock,Burdock,Burdock,Bardane,0,1,,
fr,BAS,Basilic,Basil,3310612070,basil,Basil,Basilic,Basilica,0,1,,
fr,BDH,Blé dur d'hiver,Hard winter wheat,3310102001,winter_durum_hard_wheat,Hard winter wheat,Durum wheat,Winter hard wheat,1,,,
fr,BDP,Blé dur de printemps,Durum spring wheat,3310102002,spring_durum_hard_wheat,Durum spring wheat,Durum wheat,Spring hard wheat,1,,,
fr,BDT,Blé dur de printemps semé tardivement (après le 31/05),Durum spring wheat late sown (after 31/05),3310102002,spring_durum_hard_wheat,Durum spring wheat sown late (after 05/31),Late-sown spring durum wheat (after May 31),Spring hard wheat sown late (after 31/05),1,,,
fr,BFP,Bande admissible le long d'une forêt avec production,Permissible strip along a forest with production,3390000000,not_known_and_other,Eligible strip along a forest with production,Permissible strip along a forest with production,Eligible band along a forest with production,1,,,
fr,BFS,Bande admissible le long d'une forêt sans production,Eligible strip along a forest without production,3390000000,not_known_and_other,Eligible strip along a forest without production,Permissible strip along a forest without production,Eligible band along a forest without production,1,,,
fr,BLT,Bleuet,Cornflower,3310810000,cornflowers,Cornflower,Cornflower,Blue,0,1,,
fr,BOP,Bois pâturé,Grazed wood,3360000000,tree_wood_forest,Grazed wood,Grazed woodland,Pasted wood,0,1,,
fr,BOR,Bordure de champ,Field margin,3390000000,not_known_and_other,Field edge,Field border,Field border,1,,,
fr,BRH,Bourrache de 5 ans ou moins,Borage 5 years or less,3310612090,borage,Borage 5 years or less,Borage aged 5 years or less,Bourrache of 5 years or less,0,1,,
fr,BRO,Brome de 5 ans ou moins,Bromus grass 5 years or less,3320209900,other_poaceae_grasses,Brome 5 years or less,Brome grass aged 5 years or less,Bromine of 5 years or less,0,1,,
fr,BTA,Bande tampon,Buffer strip,3390000000,not_known_and_other,Buffer strip,Buffer strip,Buffer strip,1,,,
fr,BTH,Blé tendre d'hiver,Soft winter wheat,3310101001,winter_common_soft_wheat,Soft winter wheat,Soft winter wheat,Common winter wheat,1,,,
fr,BTN,Betterave non fourragère / Bette,Non-forage beet / Swiss chard,3310719010,sugar_beet,Non-fodder beet / Swiss chard,Non-fodder beet / Swiss chard,Non-forage beet / Bette,1,,,
fr,BTP,Blé tendre de printemps,Soft spring wheat,3310101002,spring_common_soft_wheat,Soft spring wheat,Soft spring wheat,Common spring wheat,1,,,
fr,BUR,Bugle rampante,Ajuga reptans,3310899000,other_flowers_ornamental_plants,Creeping bugle,Climbing bugle,Browsing Bug,0,1,,
fr,BVF,Betterave fourragère,Fodder beet,3310719020,mangelwurzel_beets,Fodder beet,Fodder beet,Feed beet,1,,,
fr,CAB,Caroube,Carob,3330901000,carob,Carob,Carob,Carob,1,,,
fr,CAE,Châtaigneraie entretenue par des porcins ou des petits ruminants,Chestnut grove maintained by pigs or small ruminants,3330305000,sweet_chestnuts,Chestnut grove maintained by pigs or small ruminants,Chestnut grove maintained by pigs or small ruminants,Chestnuts maintained by pigs or small ruminants,1,,,
fr,CAF,Carotte fourragère,Forage carrot,3310715020,carrots_daucus,Fodder carrot,Fodder carrot,Forage carrot,1,,,
fr,CAG,Autre céréale d'un autre genre,Other cereal of a different type,3310198001,winter_unspecified_cereals,Another cereal of another kind,Another grain of a different kind,Other cereal of another genus,1,,,
fr,CAH,Autre céréale ou pseudo-céréale secondaire d'hiver,Other secondary winter cereal or pseudo-cereal,3310198001,winter_unspecified_cereals,Other secondary winter cereal or pseudo-cereal,Other secondary winter cereal or pseudo-cereal,Other winter secondary cereal or pseudo-cereal,1,,,
fr,CAR,Carotte,Carrot,3310715020,carrots_daucus,Carrot,Carrot,Carrots,1,,,
fr,CAV,Carvi,Caraway,3310612110,caraway,Caraway,Caraway,Carvi,0,1,,
fr,CBT,Cerise bigarreau pour transformation,Bigarreau cherry for processing,3330104000,cherry_cherries,Bigarreau cherry for processing,Bigarreau cherry for processing,Bigarreau cherry for processing,1,,,
