nuts,original_code,original_name,translated_name,hcat4_code,hcat4_name,g_tname,dpl_tname,opus_tname,translation_flag,type_error,Notes,Niche/uncommon name/spelling error/abbreviation
iti1,1001.0,avena,Oats,3310105000,oats,oats,oats,Oat,1,,,
iti1,1002.0,frumento duro,Durum wheat,3310102000,durum_hard_wheat,durum wheat,durum wheat,durum wheat,1,,,
iti1,1003.0,frumento tenero,Common soft wheat,3310101000,common_soft_wheat,soft wheat,soft wheat,common wheat,1,,,
iti1,1005.0,mais,Corn,3310106000,maize_corn_popcorn,corn,more,maize,0,1,,
iti1,1007.0,orzo,Barley,3310104000,barley,barley,barley,Barley,1,,,
iti1,101.0,papavero,POPPY,3310606000,poppy,poppy,poppy,poppy,1,,,
iti1,1012.0,sorgo,Sorghum,3310116000,sorghum,sorghum,sorghum,sorghum,1,,,
iti1,1013.0,triticale,Triticale,3310108000,triticale,triticale,triticale,triticale,1,,,
iti1,1014.0,farro,Spelt/emmer/einkorn,3310110000,spelt,emmer,Farro,farro,0,1,,
iti1,1095.0,bosco,Woodland,3360000000,tree_wood_forest,woods,forest,forest,1,,,
iti1,1098.0,vivaio specie ornamentali,Ornamental species nursery,3310800000,flowers_ornamental_plants,ornamental species nursery,nursery for ornamental plants,nursery ornamental species,1,,,
iti1,11.0,stevia rebaudiana,STEVIA REBAUDIANA,3310612990,other_aromatic_medicinal_culinary_plants_spices_herbs,stevia rebaudiana,stevia rebaudiana,stevia rebaudiana,1,,,
iti1,1102.0,cece,Chickpea,3310201040,chickpeas,chickpea,What's the matter?,chickpea,0,1,,
iti1,112.0,canna cinese (miscanthus sinensis),CHINESE silver grass (MISCANTHUS SINENSIS),3310617030,miscanthus_silvergrass,Chinese cane (Miscanthus sinensis),Chinese silver grass (Miscanthus sinensis),Chinese cane (miscanthus sinensis),0,1,,
iti1,113.0,aglio,GARLIC,3310708020,garlic,garlic,garlic,garlic,1,,,
iti1,114.0,agretto,opposite leaved saltwort (soda ash/ eaten as vegetables),3310717990,other_salads_lettuce_leaf_vegetables,agretto,sullen,Agretto,0,3,,1
iti1,1148.0,hedysarum coronarium l. (sulla),Sweet Vetch Hedysarum coronarium L.,3310202050,vetches,hedysarum coronarium l. (on the),Hedysarum coronarium L. (on),hedysarum coronarium l. (on board),1,,,
iti1,1167.0,medicago sativa l. (erba medica),Medicago sativa L. (Alfalfa),3310202010,alfalfa_lucerne,medicago sativa l. (alfalfa),Medicago sativa L. (alfalfa),medicago sativa l. (medical herb),1,,,
iti1,117.0,broccoletto di rapa,Rapini,3310707990,other_brassicaceae_cruciferae,turnip broccoli,turnip greens,turnip broccoli,0,1,,
iti1,1170.0,onobrichis viciifolia scop. (lupinella),Onobrichis viciifolia Scop. (Sainfoin),3310202060,onobrychis_sainfoins,onobrichis viciifolia scop. (sainfoin),Onobrichis viciifolia Scop. (lupinella),onobrichis viciifolia scop. (Wolf),1,,,
iti1,1172.0,pascolo arborato - cespugliato tara 20%,Wooded Pasture - Shrubby Tare 20%,3320100000,permanent_grassland,wooded pasture - bushy tara 20%,"wooded pasture – shrubby, 20% cover",Arbored pasture - bushed tara 20%,1,,,
iti1,1173.0,pascolo arborato - tara 50%,Wooded Pasture - Tare 50%,3320100000,permanent_grassland,wooded pasture - tare 50%,wooded pasture - 50% deduction,Arbored pasture - tara 50%,1,,,
iti1,118.0,cavolfiore,CAULIFLOWER,3310707050,cauliflower,cauliflower,cauliflower,cauliflower,1,,,
iti1,121.0,fagiolino,green bean,3310201010,beans,green bean,green bean,green beans,1,,,
