nuts,original_code,original_name,translated_name,hcat4_code,hcat4_name,g_tname,dpl_tname,opus_tname,translation_flag,type_error,Notes,Niche/uncommon name/spelling error/abbreviation
nl,1000.0,"Iris, bloembollen en -knollen","Iris, flower bulbs and tubers",3310823000,iris,"Iris, flower bulbs and tubers","Iris, flower bulbs, and tubers","iris, bulbs and tubers",1,,,
nl,1001.0,"Krokus, bloembollen en - knollen",Crocus flower bulbs and tubers,3310612320,saffron_crocus_sativus,"Crocus, flower bulbs and tubers","Crocuses, flower bulbs, and tubers","Crocus, bulbs and tubers",1,,,
nl,1002.0,"Lelie, bloembollen en -knollen",Lily flower bulbs and tubers,3310825000,lilies,"Lily, flower bulbs and tubers","Lily, flower bulbs, and tubers","Lilies, bulbs and tubers",1,,,
nl,1003.0,"Narcis, bloembollen en -knollen",Daffodil flower bulbs and tubers,3310833000,narcissus_daffodil,"Daffodil, flower bulbs and tubers","Daffodils, flower bulbs, and tubers","Narcissus, flower bulbs and tubers",1,,,
nl,1004.0,"Tulp, bloembollen en -knollen",Tulip flower bulbs and tubers,3310849000,tulips,"Tulip, flower bulbs and tubers","Tulips, flower bulbs, and tubers","Tulips, bulbs and tubers",1,,,
nl,1005.0,"Zantedeschia, bloembollen en -knollen",Zantedeschia flower bulbs and tubers,3310899000,other_flowers_ornamental_plants,"Zantedeschia, flower bulbs and tubers","Zantedeschia, flower bulbs and tubers","Zantedeschia, bulbs and tubers",1,,,
nl,1006.0,"Overige bloemen, bloembollen en -knollen",Other flowers bulbs and tubers,3310800000,flowers_ornamental_plants,"Other flowers, flower bulbs and tubers","Other flowers, flower bulbs, and tubers","Other flowers, bulbs and bulbs",1,,,
nl,1007.0,"Amaryllis, bloembollen en -knollen",Amaryllis flower bulbs and tubers,3310899000,other_flowers_ornamental_plants,"Amaryllis, flower bulbs and tubers","Amaryllis, flower bulbs, and tubers","Amaryllis, bulbs and tubers",1,,,
nl,1010.0,"Sierui, overige bloemkwekerijgewassen",Ornamental onions other flower nursery crops,3310899000,other_flowers_ornamental_plants,"Ornamental onion, other flower nursery crops","Ornamental onions, other flower nursery crops",Other flowering plants,1,,,
nl,1012.0,"Sierui, bloembollen en -knollen",Ornamental onions flower bulbs and tubers,3310899000,other_flowers_ornamental_plants,"Ornamental onion, flower bulbs and tubers","Ornamental onions, flower bulbs, and tubers","Syringes, flower bulbs and tubers",0,1,,
nl,1013.0,"Blauw druifje, overige bloemkwekerijgewassen",Grape hyacinth other flower nursery crops,3310899000,other_flowers_ornamental_plants,"Grape hyacinth, other flower nursery crops","Blue grape, other flower nursery crops","Blue grape, other nursery plants",0,1,,
nl,1014.0,"Blauw druifje, droogbloemen",Grape hyacinth  dried flowers,3310899000,other_flowers_ornamental_plants,"Grape hyacinth, dried flowers","Blue grape, dried flowers","blue grape, dried flowers",0,1,,
nl,1015.0,"Blauw druifje, bloembollen en -knollen",Grape hyacinth flower bulbs and tubers,3310899000,other_flowers_ornamental_plants,"Grape hyacinth, flower bulbs and tubers","Blue grape hyacinth, flower bulbs and tubers","Blue grape, bulbs and tubers",0,1,,
nl,1016.0,"Kuifhyacint, overige bloemkwekerijgewassen",Crested hyacinth other flower nursery crops,3310899000,other_flowers_ornamental_plants,"Crested hyacinth, other flower nursery crops","Crested hyacinth, other flower nursery crops","Crested hyacinth, other nursery plants",1,,,
nl,1018.0,"Kuifhyacint, bloembollen en -knollen","Crested hyacinth, bulbs and tubers",3310899000,other_flowers_ornamental_plants,"Crested hyacinth, flower bulbs and tubers","Crested hyacinth, flower bulbs and tubers","Crested hyacinth, flower bulbs and tubers",1,,,
nl,1019.0,"Valeriaan, productie",Valerian production,3310612380,valerian,"Valerian, production","Valerian, production","valerian, production",1,,,
nl,1020.0,"Valeriaan, zaden en opkweekmateriaal",Valerian seeds and propagation material,3310612380,valerian,"Valerian, seeds and propagation material","Valerian, seeds, and propagation material","Valerian, seeds and propagating material",1,,,
nl,1021.0,Knoflook,Garlic,3310708020,garlic,Garlic,Garlic,garlic,1,,,
nl,1022.0,Quinoa,Quinoa,3310703030,quinoa,Quinoa,Quinoa,quinoa,1,,,
nl,1023.0,"Pastinaak, productie",Parsnip production,3310715030,parsnips,"Parsnip, production","Parsnip, production","Parsnips, production",1,,,
nl,1024.0,"Pastinaak, zaden en opkweekmateriaal",Parsnips seeds and propagation material,3310715030,parsnips,"Parsnips, seeds and propagation material","Parsnips, seeds, and propagation material","Parsnips, seeds and propagating material",1,,,
nl,1025.0,"Pioenroos, overige bloemkwekerijgewassen",Peony other flower nursery crops,3310834000,peony_peonies,"Peony, other flower nursery crops","Peony, other flower nursery crops",cucurbits with edible peel,0,1,,
nl,1026.0,"Pioenroos, droogbloemen",Peony dried flowers,3310834000,peony_peonies,"Peony, dried flowers","Peony, dried flowers","Peanuts, dried flowers",0,1,,
nl,1027.0,"Pioenroos, bloembollen en -knollen","Peony, flower bulbs and tubers",3310834000,peony_peonies,"Peony, flower bulbs and tubers","Peony, flower bulbs, and tubers","Roses, flower bulbs and tubers",0,1,,
nl,1028.0,"Lavas (Maggiplant), productie",Lovage (Maggiplant) production,3310612210,lovage_maggiplant,"Lovage (Maggiplant), production","Lovage (Maggiplant), production","lovage (maggiplant), production",1,,,
nl,1029.0,"Lavas (Maggiplant), zaden en opkweekmateriaal","Lovage (Maggi plant), seeds and propagation material",3310612210,lovage_maggiplant,"Lovage (Maggi plant), seeds and propagation material","Lovage (Maggiplant), seeds and propagation material","Lava (maggiplant), seeds and propagating material",0,1,,
nl,1030.0,"Wilde marjolein (Oregano), productie",Wild Marjoram (Oregano) production,3310612260,oregano,"Wild marjoram (Oregano), production","Wild marjoram (Oregano), production","wild marjoram (oregano), production",1,,,
nl,1032.0,Goudsbloem,Marigold,3310612100,calendula_marigold,Marigold,Marigold,Marigold,1,,,
nl,1033.0,Igniscum Candy,Igniscum Candy,3310617010,igniscum_candy,Igniscum Candy,"Forgive me, Candy",igniscum candy,0,1,,
nl,1034.0,Kanariezaad,canary seed,3320201100,canary_seed_canaryseed,Canary seed,Canary seed,Canary seed,1,,,
