nuts,original_code,original_name,translated_name,hcat4_code,hcat4_name,g_tname,dpl_tname,gpt_tname,translation_flag,type_error,Notes,Niche/uncommon name/spelling error/abbreviation
pt,1.0,TRIGO,WHEAT,3310101000,common_soft_wheat,WHEAT,Wheat,Wheat,1,,,
pt,10002.0,ABOBORAS_E_ABOBORINHAS,PUMPKINS AND COURGETTES,3310702040,pumpkin_squash_gourd,PUMPKINS_AND_PUMPKINS,PUMPKINS_AND_SQUASHES,Pumpkins and Zucchinis,1,,,
pt,10005.0,ACEIRO_FLORESTAL,FOREST FIREBREAKS,3360000000,tree_wood_forest,ACEIRO_FLORESTAL,FOREST FIREBREAK,Forest Firebreak,0,1,,
pt,10006.0,AGRIAO,watercress,3310718000,cress,CRESS,AGRIAO,Watercress,0,1,,
pt,10012.0,ALHO_FRANCES,FRENCH GARLIC,3310708020,garlic,GARLIC_FRENCH,GARLIC,Leek,0,1,,
pt,10021.0,AVELA,HAZELNUT,3330302000,hazelnuts_hazel,HAZELNUT,They appear,Hazelnut,0,1,,
pt,10024.0,Aceiros florestais,Forest Firebreaks,3390000000,not_known_and_other,Forest firebreaks,Forest firebreaks,Forest firebreaks,1,,,
pt,10026.0,BATATA,Potato,3310300000,potatoes,POTATO,Potatoes,Potato,1,,,
pt,10028.0,BATATA_DOCE,SWEET POTATO,3310400000,sweet_potatoes,SWEET POTATO,SWEET POTATO,Sweet Potato,1,,,
pt,10033.0,Bosquetes,groves,3360000000,tree_wood_forest,Bosquetes,Groves,Groves,0,1,,
pt,10035.0,CABECEIRAS CULT. PERMANENTES -ÁREA ÚTIL,Headlands of permanent crops - useful area,3390000000,not_known_and_other,CULT HEADBOARDS PERMANENT - USEFUL AREA,CULTURAL HEADBOARDS. PERMANENT - USABLE AREA,Headlands of Permanent Crops – Useful Area,0,1,,
pt,10036.0,CABECEIRAS_CULT_PERMANENTES_AREA_UTIL,Headlands of permanent crops - useful area,3390000000,not_known_and_other,HEADS_CULT_PERMANENTES_AREA_UTIL,HEADBOARDS_CULT_PERMANENT_AREA_UTIL,Headlands of Permanent Crops – Useful Area,0,1,,
pt,10037.0,CANA DE AÇUCAR,Sugar cane,3310699000,other_industrial_crops,SUGAR CANE,SUGAR CANE,Sugarcane,1,,,
pt,10039.0,CANA_DE_ACUCAR,Sugar cane,3310699000,other_industrial_crops,SUGAR_CANE,Sugar Cane,Sugarcane,1,,,
pt,10040.0,CANHAMO,Hemp,3310610000,hemp_cannabis,HEMP,CANHAMO,Hemp,0,1,,
pt,10050.0,CONS FIXADORAS AZOTO (+ 50% FIX AZOTO),NITROGEN FIXING CROPS (+50% FIXED NITROGEN),3310200000,legumes,NITROGEN FIXING CONS (+ 50% FIX NITROGEN),NITROGEN FIXERS (+ 50% NITROGEN FIX),Nitrogen-fixing Associations (+50% Nitrogen Fixation),1,,,
pt,10051.0,CONSOCIACAO_DE_FIXADORAS_DE_AZOTO,association of nitrogen-fixing plants,3310200000,legumes,CONSOCIACAO_OF_NITROZO_FIXERS,Association of Nitrogen Fixers,Nitrogen-fixing Associations,1,,,
pt,10052.0,CONSOCIACOES_ANUAIS_E_OUTRAS_CULT_FORRAG_ANUAIS,ANNUAL AND OTHER CULT. FORAGE ANNUALS,3310000000,arable_crops,CONSOCIACOES_ANUAIS_E_OUTRAS_CULT_FORRAG_ANUAIS,ANNUAL ASSOCIATIONS AND OTHER ANNUAL FORAGE CROPS,Annual Associations and Other Annual Forage Crops,0,1,,
pt,10055.0,CONSOCIAÇÕES ANUAIS E OUTRAS CULTURAS FORRAGEIRAS ANUAIS,ANNUAL CROPS AND OTHER ANNUAL FORAGE CROPS,3310000000,arable_crops,ANNUAL CONSOCIATIONS AND OTHER ANNUAL FORAGE CROPS,ANNUAL CROPS AND OTHER ANNUAL FORAGE CROPS,Annual Associations and Other Annual Forage Crops,1,,,
pt,10057.0,"COURGETTE,FEIJÃO,MORANGO,OUTRAS HORTÍCOLAS,BATATA,BATATA DOCE","Zucchini, Bean, Strawberry, Other Vegetables, Potato, Sweet Potato",3310000000,arable_crops,"COURGETTE, BEANS, STRAWBERRY, OTHER VEGETABLES, POTATOES, SWEET POTATOES","ZUCCHINI, BEANS, STRAWBERRIES, OTHER VEGETABLES, POTATOES, SWEET POTATOES","Zucchini, Beans, Strawberry, Other Vegetables, Potato, Sweet Potato",1,,,
pt,10061.0,Cabeceiras de Culturas Permanentes,Permanent Crop Headlands,3390000000,not_known_and_other,Headboards for Permanent Crops,Headlands of Permanent Crops,Headlands of Permanent Crops,1,,,
pt,10062.0,Cabeceiras e áreas envolventes,Headlands and surrounding areas,3390000000,not_known_and_other,Headboards and surrounding areas,Headboards and surrounding areas,Headlands and Surrounding Areas,1,,,
pt,10063.0,Culturas Temporárias,Temporary crops,3310000000,arable_crops,Temporary Crops,Temporary Crops,Temporary Crops,1,,,
pt,10064.0,Culturas frutícolas,Fruit crops,3330100000,orchards_fruits,Fruit crops,Fruit crops,Fruit Crops,1,,,
pt,10065.0,Culturas protegidas,Protected crops,3310000000,arable_crops,Protected crops,Protected crops,Protected Crops,1,,,
pt,10066.0,Culturas sem contacto com o solo,Crops without contact with the soil,3390000000,not_known_and_other,Crops without contact with the soil,Soil-free cultures,Crops Without Contact with the Soil,1,,,
pt,10073.0,ELEMENTO_LINEAR_ARROZ_NAO_UTIL_COMP_MAA,Linear element RICE (COMP. MAA),3310107000,rice,ELEMENTO_LINEAR_RAROZ_NAO_UTIL_COMP_MAA,Linear element rice NAO utility component MAA,Linear Element Rice Non-Useful Component MAA,0,1,,
pt,10074.0,ELEMENTO_LINEAR_EM_ORIZICULTURA_AREA_UTIL,Linear element in rice cultivation - useful area,3310107000,rice,LINEAR_ELEMENT_EM_ORIZICULTURA_AREA_UTIL,LINEAR_ELEMENT_EM_HORIZONTAL_AREA_UTIL,Linear Element in Rice Cultivation – Useful Area,0,1,,
pt,10075.0,ELEMENTO_LINEAR_SEBE_OU_CORTA_VENTO_AREA_UTIL,Linear element hedge or windbreak,3390000000,not_known_and_other,ELEMENTO_LINEAR_HEDGE_OU_CORTA_VENTO_AREA_UTIL,Linear Element: Seam or Wind-Crossing Useful Area,Linear Element Hedge or Windbreak – Useful Area,0,1,,
pt,10076.0,ELP Galeria Ripícola,ELP Riparian Gallery,3390000000,not_known_and_other,ELP Ripicultural Gallery,ELP Ripícola Gallery,Riparian Gallery Landscape Element,0,1,,
pt,10077.0,ELP Linha de Água,ELP Water Line,3390000000,not_known_and_other,ELP Water Line,ELP Water Line,Water Line Landscape Element,1,,,
pt,10078.0,ELP Talude,ELP Slope,3390000000,not_known_and_other,ELP Talude,ELP Farms,Slope Landscape Element,0,1,,
pt,10080.0,EP_BOSQUETE_E_FORMACOES_RELIQUIAIS_AREA_UTIL,EP_FOREST_AND_RELICIAL_FORMATIONS_USEFUL_AREA,3390000000,not_known_and_other,EP_BOSQUETE_E_FORMACOES_RELIQUIAIS_AREA_UTIL,EP_BOSQUETE_AND_RELIC_FORMATIONS_AREA_UTIL,Groves and Relict Formations Landscape Element – Useful Area,0,1,,
pt,10084.0,Elemento Linear Linha de Água,Water Line,3390000000,not_known_and_other,Water Line Linear Element,Linear Element Water Line,Linear Element Water Line,1,,,
pt,10085.0,Elemento Linear Sebe ou Corta-Vento,Linear Hedge or Windbreak,3390000000,not_known_and_other,Linear Element Hedge or Windbreak,Linear Element Hedge or Windbreak,Linear Element Hedge or Windbreak,1,,,
pt,10086.0,Elemento Linear em Orizicultura,Linear Element in Rice Cultivation,3310107000,rice,Linear Element in Rice Farming,Linear Element in Rice Farming,Linear Element in Rice Cultivation,1,,,
pt,10087.0,Elemento de Paisagem Galeria Ripícola,Riparian Gallery Landscape Element.,3390000000,not_known_and_other,Riparian Gallery Landscape Element,Landscape Element Riparian Gallery,Riparian Gallery Landscape Element,1,,,
pt,10088.0,Espaço florestal arborizado,Wooded forest area,3360000000,tree_wood_forest,Wooded forest space,Wooded forest area,Forested Woodland Area,1,,,
pt,10090.0,FEIJAO,BEAN,3310201010,beans,BEAN,BEANS,Bean,1,,,
pt,10091.0,FEIJÃO,BEAN,3310201010,beans,BEAN,BEANS,Bean,1,,,
pt,10095.0,FIGO_DA_INDIA,Prickly pear,3330199000,other_orchards_fruits,FIGO_DA_INDIA,FIGO_DA_INDIA,Prickly Pear,0,3,"figo-da-Índia, name of the fruit not plant",3
pt,10097.0,FLORES_E_PLANTAS_ORNAMENTAIS,ORNAMENTAL FLOWERS AND PLANTS,3310800000,flowers_ornamental_plants,ORNAMENTAL_FLOWERS_AND_PLANTS,FLOWERS_AND_ORNAMENTAL_PLANTS,Flowers and Ornamental Plants,1,,,
pt,10099.0,GALERIA RIPICOLA,RIPARIAN GALLERY,3390000000,not_known_and_other,RIPICOLA GALLERY,RIPICOLA GALLERY,Riparian Gallery,0,1,,
pt,101.0,VIVEIROS ,NURSERY,3330700000,nurseries_nursery,NURSERY,Nurseries ,Nurseries,1,,,
pt,10100.0,GALERIA RIPICOLA FLORESTAL,RIPICOLA FLORESTAL GALLERY,3390000000,not_known_and_other,RIPICOLA FLORESTAL GALLERY,FOREST RIPICOLA GALLERY,Forest Riparian Gallery,0,1,,
pt,10104.0,GALERIA_RIPICOLA,RIPARIAN GALLERY,3390000000,not_known_and_other,GALERIA_RIPICOLA,SMALL GALLERY,Riparian Gallery,0,1,,
pt,10105.0,GALERIA_RIPICOLA_AREA_UTIL,GALLERY_RIPICOLA_AREA_UTIL,3390000000,not_known_and_other,GALERIA_RIPICOLA_AREA_UTIL,SMALL GALLERY UTILITY AREA,Riparian Gallery – Useful Area,0,1,,
pt,10106.0,GALERIA_RIPICOLA_FLORESTAL,GALLERY_RIPICOLA_FORESTAL,3390000000,not_known_and_other,GALERIA_RIPICOLA_FLORESTAL,GALERIA_RIPICOLA_FLORESTAL,Forest Riparian Gallery,0,1,,
pt,10109.0,GRAO DE BICO,CHICKPEA,3310201040,chickpeas,CHICKPEA,Degree of Smile,Chickpea,0,1,,
pt,10110.0,GRAO_DE_BICO,CHICKPEA,3310201040,chickpeas,CHICKPEA,Degree of smile,Chickpea,0,1,,
pt,10113.0,Galeria Ripícola em Espaço Florestal,Riparian Gallery in Forest Space,3390000000,not_known_and_other,Riparian Gallery in Espaço Florestal,Riparian Gallery in Forest Area,Riparian Gallery in Forest Area,0,1,,
pt,10115.0,Improdutivo,Unproductive,3370000000,unmaintained,Unproductive,Unproductive,Unproductive,1,,,
pt,10118.0,LIMAO,LEMON,3330404000,lemons,LEMON,Lemon,Lemon,1,,,
pt,10121.0,LINHAS_DE_AGUA_AREA_UTIL,ELEGIBLE LANDSCAPE FEATURES - WATER LINES,3390000000,not_known_and_other,LINHAS_DE_WATER_AREA_UTIL,WATER_LINES_AREA_UTIL,Water Lines – Useful Area,0,1,,
pt,10125.0,MACA,APPLE,3330102000,apples,LITTER,Read,Apple,0,3,maçã,3
pt,10126.0,MACICOS_OU_FORMACOES_RELIQUIAIS_OU_NOTAVEIS,MASSIVE_OR_RELIQUIAL_OR_NOTABLE_FORMATIONS,3390000000,not_known_and_other,MACICOS_OU_FORMACOES_RELIQUIAIS_OU_NOTAVEIS,MACICOS_OR_RELIC_OR_NOTABLE_FORMATIONS,Thickets or Relict or Notable Formations,0,1,,
pt,10130.0,MARACUJA,Passion fruit,3330199000,other_orchards_fruits,PASSION FRUIT,Witch doctor,Passion Fruit,0,1,,
pt,10134.0,MAÇA,APPLE,3330102000,apples,LITTER,MATCH,Apple,0,3,maçã,3
pt,10139.0,MELAO,MELON,3310702030,melon,MELON,Rules,Melon,0,1,,
pt,10145.0,MISTO DE CULTURAS PERMANENTES,Mixed permanent crops,3330000000,permanent_crops_perennial,MIX OF PERMANENT CROPS,MIX OF PERMANENT CROPS,Mixed Permanent Crops,1,,,
pt,10146.0,MISTO_CULTURAS_PERMANENTES,MIXED PERMANENT CULTURES,3330000000,permanent_crops_perennial,MIXED_PERMANENT_CULTURES,MISTO_PERMANENT_CROPS,Mixed Permanent Crops,1,,,
pt,10149.0,Massas de água,Water bodies,3390000000,not_known_and_other,Bodies of water,Water bodies,Water Bodies,1,,,
