nuts,original_code,original_name,translated_name,hcat4_code,hcat4_name,g_tname,dpl_tname,opus_tname,translation_flag,type_error,Notes,Niche/uncommon name/spelling error/abbreviation
sk,10001.0,Baklažán,Eggplant,3310712000,aubergine_eggplant,Eggplant,Eggplant,Aubergines,1,,,
sk,10002.0,Baza čierna,Elderberry,3330804000,elder_elderberry,Elderberry black,Black base,elderberries,0,1,,
sk,10003.0,Bazalka pravá,Basil,3310612070,basil,True basil,Basil,"Basil (Balm leaves, mint, peppermint, peppermint, peppermint, peppermint, peppermint, peppermint, peppermint, peppermint, peppermint, peppermint, peppermint, peppermint, peppermint, peppermint, peppermint, peppermint, peppermint, peppermint",1,,,
sk,10004.0,Biopás,Bio belt,3311100000,fallow_land_not_crop,Bio belt,Biopás,Bioband,0,1,,
sk,10005.0,Biopás pre medonosné plodiny,Biobelt for honey crops,3311100000,fallow_land_not_crop,Biobelt for honey crops,Biopás for honey crops,Bioband for honey-bearing crops,0,1,,
sk,10006.0,Biopás tvorený úhorom s porastom,Biobelt formed by fallow with vegetation,3311100000,fallow_land_not_crop,Biobelt formed by fallow with vegetation,Biopás formed by fallow land with vegetation,Eel-covered bio-band,0,1,,
sk,10007.0,Breza previsnutá,Birch overhanging,3360300000,birch,Overhanging birch,Weeping birch,Birch birch,0,1,,
sk,10008.0,Brokolica,Broccoli,3310707030,broccoli,Broccoli,Broccoli,Broccoli,1,,,
sk,10009.0,Broskyňa obyčajná,Peach,3330111000,peach,Common peach,Common peach,Pomegranate,0,1,,
sk,10010.0,Brusnica pravá,Cranberry,3330204020,cranberry,True cranberry,Cranberry,Cranberry,1,,,
sk,10011.0,Bylinné políčko,Herbaceous fields,3311100000,fallow_land_not_crop,Herb field,Herbal field,Herbal field,1,,,
sk,10012.0,Bylinné trvalé plodiny,Herbal permanent crops,3310612000,aromatic_medicinal_culinary_plants_spices_herbs,Herbaceous perennial crops,Herbaceous perennial crops,Herbal permanent crops,1,,,
sk,10013.0,Bôb konský,broad beans,3310201010,beans,Horse bean,Horse bean,Horse bean,0,2,Old name for broad beans,2
sk,10014.0,Bôb obyčajný,Common beans,3310201010,beans,Common bean,Common bean,Broad bean,1,,,
sk,10015.0,Cesnak,Garlic,3310708020,garlic,Garlic,Garlic,Garlic,1,,,
